d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,910709.03,936733.91
10_office_management,2018-2019,988005.16,997391.17
10_office_management,2019-2020,990941.28,968322.90
10_office_management,2020-2021,154960.89,146543.46
10_office_management,2021-2022,500537.38,465362.44
10_office_management,2022-2023,743011.74,663331.53
3_information_technology,2017-2018,117762.63,121292.17
3_information_technology,2018-2019,143708.05,146085.02
3_information_technology,2019-2020,221781.91,219917.20
3_information_technology,2020-2021,144396.64,137336.25
3_information_technology,2021-2022,368246.28,341503.23
3_information_technology,2022-2023,357326.30,319755.64
9_human_capital,2018-2019,7514.44,7584.64
9_human_capital,2019-2020,49434.88,48760.26
9_human_capital,2020-2021,65983.22,62766.19
9_human_capital,2021-2022,66229.28,62370.31
