owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2018-2019,10339.50,10436.09
csc-scc,2021-2022,21582.75,20065.49
csc-scc,2022-2023,11496.62,10275.25
dfatd-maecd,2017-2018,59866.80,61660.25
dfatd-maecd,2018-2019,68239.95,69861.42
dfatd-maecd,2019-2020,50118.84,49840.13
dfatd-maecd,2020-2021,101572.81,97141.32
dfatd-maecd,2021-2022,167595.33,154488.61
dfatd-maecd,2022-2023,68708.44,61258.52
dfo-mpo,2017-2018,24498.07,25197.70
dfo-mpo,2018-2019,55996.64,56739.00
dfo-mpo,2019-2020,14455.25,14436.16
dfo-mpo,2020-2021,66626.22,62809.04
dfo-mpo,2021-2022,90555.47,82376.05
dfo-mpo,2022-2023,173708.60,154466.89
dnd-mdn,2017-2018,1068533.03,1101425.30
dnd-mdn,2018-2019,1309251.68,1331508.76
dnd-mdn,2019-2020,2216651.83,2208796.53
dnd-mdn,2020-2021,581676.65,553925.06
dnd-mdn,2021-2022,877962.22,811692.65
dnd-mdn,2022-2023,551309.10,492760.11
ic,2017-2018,49705.33,51124.84
ic,2018-2019,12663.91,12782.21
ic,2019-2020,44284.70,43362.20
ic,2022-2023,106403.74,94383.40
nrc-cnrc,2017-2018,15434.42,15940.73
pch,2019-2020,16663.48,16283.13
pch,2022-2023,17204.11,15336.11
phac-aspc,2018-2019,370773.90,377213.00
ps-sp,2022-2023,21873.31,19509.01
pwgsc-tpsgc,2018-2019,545.78,550.88
pwgsc-tpsgc,2019-2020,66584.79,66053.65
pwgsc-tpsgc,2020-2021,29225.09,27538.09
rcmp-grc,2017-2018,330439.78,340049.98
rcmp-grc,2018-2019,203949.79,207410.54
rcmp-grc,2019-2020,19742.76,19292.13
rcmp-grc,2020-2021,92259.11,88295.78
rcmp-grc,2021-2022,202.87,183.39
rcmp-grc,2022-2023,20354.66,18256.10
ssc-spc,2017-2018,174050.37,179342.62
ssc-spc,2018-2019,83683.81,85042.58
ssc-spc,2019-2020,187638.92,185092.80
ssc-spc,2020-2021,446892.70,425418.00
ssc-spc,2021-2022,29852.69,27508.54
ssc-spc,2022-2023,60254.34,53878.88
