normalized_vendor_name,original_vendor_name
APPAREL TRIMMINGS,Apparel Trimmings Inc
APPAREL TRIMMINGS,APPAREL TRIMMINGS INC
APPAREL TRIMMINGS,Apparel trimmings inc.
APPAREL TRIMMINGS,APPAREL TRIMMINGS INC.
APPAREL TRIMMINGS,Apparel Trimmings Inc.
APPAREL TRIMMINGS,Apparel Trimmings
APPAREL TRIMMINGS,apparel Trimmings
APPAREL TRIMMINGS,Apparell Trimmings
APPAREL TRIMMINGS,Apparel Trimmings. Inc
APPAREL TRIMMINGS,Apparel Trimmings inc.
APPAREL TRIMMINGS,Apparel Trimming Inc.
APPAREL TRIMMINGS,APPAREL TRIMMINGS
APPAREL TRIMMINGS,Apparel TRimmings Inc.
