owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,4541.14,4666.28
aafc-aac,2018-2019,10874.84,11152.37
aandc-aadnc,2017-2018,362620.93,372613.71
aandc-aadnc,2018-2019,27863.05,28100.67
atssc-scdata,2017-2018,160318.97,164754.73
cannor,2019-2020,10783.00,10596.97
cbsa-asfc,2017-2018,24930.47,25617.48
cbsa-asfc,2018-2019,12749.41,12858.14
cbsa-asfc,2019-2020,31086.04,30345.55
cbsa-asfc,2021-2022,273253.99,248877.69
cic,2017-2018,70397.68,72341.86
cic,2018-2019,217390.01,221151.60
cic,2019-2020,139022.32,137757.02
cic,2020-2021,18046.19,17347.12
cic,2021-2022,22495.43,20454.44
cra-arc,2017-2018,21149.55,21845.56
cra-arc,2019-2020,160467.49,158008.53
cra-arc,2020-2021,0.00,0.00
cra-arc,2021-2022,0.00,0.00
crtc,2017-2018,18023.74,18520.42
crtc,2020-2021,32011.88,30361.40
csa-asc,2017-2018,197337.55,203419.44
csa-asc,2018-2019,230829.56,232798.14
csa-asc,2019-2020,193120.06,189030.10
csa-asc,2020-2021,19511.86,18602.11
csa-asc,2021-2022,18816.92,17626.55
csc-scc,2019-2020,167291.20,163306.20
csps-efpc,2017-2018,175739.52,181210.36
csps-efpc,2018-2019,69696.49,70724.34
csps-efpc,2019-2020,74893.30,73361.61
csps-efpc,2020-2021,34171.20,32409.39
dfatd-maecd,2017-2018,1252921.24,1287694.78
dfatd-maecd,2018-2019,309838.88,316355.81
dfatd-maecd,2019-2020,11923.76,11639.73
dfatd-maecd,2020-2021,690594.76,659840.12
dfatd-maecd,2021-2022,139220.31,127347.46
dfo-mpo,2019-2020,65814.36,65322.29
dfo-mpo,2021-2022,139770.48,127089.20
dnd-mdn,2017-2018,906893.96,932497.30
dnd-mdn,2018-2019,1515414.88,1535776.30
dnd-mdn,2019-2020,1394212.30,1379957.89
dnd-mdn,2020-2021,733761.20,695611.97
dnd-mdn,2021-2022,412076.99,386179.49
elections,2019-2020,50725.82,50073.55
esdc-edsc,2017-2018,351614.23,362086.92
esdc-edsc,2018-2019,217851.47,220414.68
esdc-edsc,2019-2020,326350.68,322023.58
esdc-edsc,2020-2021,917246.09,872081.47
esdc-edsc,2021-2022,801019.98,737287.63
hc-sc,2017-2018,107418.95,110592.40
hc-sc,2021-2022,67349.70,61239.11
infc,2021-2022,10146.27,9616.49
irb-cisr,2020-2021,284727.88,270430.14
isc-sac,2018-2019,27863.05,28100.67
isc-sac,2019-2020,382460.86,373350.35
isc-sac,2020-2021,13859.56,13238.74
lac-bac,2017-2018,11024.40,11362.29
lac-bac,2018-2019,10921.27,11120.92
lac-bac,2019-2020,10916.02,10827.69
lac-bac,2020-2021,13431.10,12805.98
lac-bac,2021-2022,10145.85,9225.32
mgerc-ceegm,2019-2020,982.27,958.87
mgerc-ceegm,2020-2021,44815.99,42726.42
mgerc-ceegm,2021-2022,13376.94,12254.64
nfb-onf,2017-2018,777045.63,798659.04
nfb-onf,2018-2019,375504.93,382451.67
nfb-onf,2019-2020,817052.82,810833.88
nfb-onf,2020-2021,1700121.78,1614785.40
nfb-onf,2021-2022,1142762.35,1056012.99
nrc-cnrc,2018-2019,27416.41,27650.22
nrcan-rncan,2018-2019,324434.58,328403.22
nrcan-rncan,2021-2022,399908.51,363625.07
nserc-crsng,2017-2018,24010.97,24672.64
nserc-crsng,2018-2019,10401.65,10635.48
pc,2019-2020,1622.38,1583.73
pc,2020-2021,37010.45,35284.82
pco-bcp,2018-2019,338269.81,341154.66
pco-bcp,2019-2020,573436.24,574454.00
pco-bcp,2020-2021,270828.02,257008.62
pco-bcp,2021-2022,85732.15,80759.66
psc-cfp,2018-2019,184952.46,186529.78
psc-cfp,2019-2020,95331.10,93260.51
pwgsc-tpsgc,2017-2018,6366522.31,6552143.35
pwgsc-tpsgc,2018-2019,16207449.43,16503616.50
pwgsc-tpsgc,2019-2020,9319468.12,9258555.22
pwgsc-tpsgc,2020-2021,5098323.10,4857163.29
pwgsc-tpsgc,2021-2022,1365328.92,1273044.97
rcmp-grc,2017-2018,35091.06,36058.07
rcmp-grc,2018-2019,32216.97,32650.88
rcmp-grc,2019-2020,320062.58,313674.44
rcmp-grc,2020-2021,614236.24,585784.71
rcmp-grc,2021-2022,679316.99,627573.23
ssc-spc,2017-2018,186332.92,192305.52
ssc-spc,2018-2019,683638.36,691227.83
ssc-spc,2019-2020,802353.17,788119.61
ssc-spc,2020-2021,95322.61,90418.41
ssc-spc,2021-2022,353964.97,331074.49
statcan,2017-2018,238126.57,244688.65
statcan,2018-2019,14876.60,15003.47
statcan,2019-2020,124642.10,121673.03
statcan,2020-2021,107714.40,102866.05
tsb-bst,2018-2019,79608.30,80918.16
vac-acc,2017-2018,11023.55,11395.61
vac-acc,2019-2020,17468.59,17447.51
