owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2018-2019,38543.17,39429.42
cbsa-asfc,2019-2020,22137.16,22018.73
cbsa-asfc,2022-2023,17890.11,15906.04
cfia-acia,2022-2023,17451.83,15504.51
cic,2018-2019,5926.04,6024.78
cic,2019-2020,36351.20,36048.71
cic,2020-2021,29485.57,28079.71
cic,2021-2022,29485.57,27413.49
cic,2022-2023,2423.47,2189.04
csc-scc,2017-2018,27090.00,27879.43
csc-scc,2018-2019,27023.23,27444.96
csc-scc,2019-2020,49552.53,49157.26
csc-scc,2020-2021,32859.34,31323.26
dfatd-maecd,2018-2019,12873.00,13180.62
dfo-mpo,2017-2018,31967.48,32903.29
dfo-mpo,2018-2019,19954.80,20487.53
dfo-mpo,2021-2022,39984.66,36565.59
dfo-mpo,2022-2023,57952.44,52122.57
dnd-mdn,2017-2018,7775292.67,8003998.21
dnd-mdn,2018-2019,17406359.43,17739446.19
dnd-mdn,2019-2020,15260204.81,15137599.10
dnd-mdn,2020-2021,15240389.49,14512749.25
dnd-mdn,2021-2022,16971185.65,15750148.50
dnd-mdn,2022-2023,19833811.77,17760382.08
ec,2017-2018,785412.05,810387.81
ec,2018-2019,1119671.30,1139860.09
ec,2019-2020,1196142.03,1185712.77
ec,2020-2021,1277999.13,1216857.29
ec,2021-2022,1318628.08,1226070.24
ec,2022-2023,1365948.72,1221525.05
nrc-cnrc,2017-2018,8542120.33,8799626.27
nrc-cnrc,2018-2019,11757919.30,11982940.54
nrc-cnrc,2019-2020,12720236.96,12614452.65
nrc-cnrc,2020-2021,11482866.29,10907931.79
nrc-cnrc,2021-2022,10601765.14,9842484.16
nrc-cnrc,2022-2023,11950474.04,10694914.03
nrcan-rncan,2017-2018,1214731.05,1252304.11
nrcan-rncan,2018-2019,1306255.57,1328819.94
nrcan-rncan,2019-2020,1275962.68,1262874.96
nrcan-rncan,2020-2021,1260054.85,1197099.45
nrcan-rncan,2021-2022,1326697.22,1239590.48
nrcan-rncan,2022-2023,1369549.98,1222603.27
pc,2017-2018,17394.21,17959.92
pc,2018-2019,7329.96,7470.42
pc,2019-2020,7350.04,7291.41
pc,2020-2021,7329.96,6980.47
pc,2022-2023,37828.35,33640.25
pwgsc-tpsgc,2017-2018,165652.72,170601.35
pwgsc-tpsgc,2018-2019,435293.65,443549.43
pwgsc-tpsgc,2019-2020,12497.65,12397.96
pwgsc-tpsgc,2021-2022,31460.10,28574.25
pwgsc-tpsgc,2022-2023,515683.80,459196.08
rcmp-grc,2017-2018,321714.00,331147.30
rcmp-grc,2018-2019,368876.95,377769.24
rcmp-grc,2020-2021,3516.23,3336.78
rcmp-grc,2021-2022,55002.85,50675.69
rcmp-grc,2022-2023,92360.04,82644.15
