d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,9479920.90,9768539.20
1_facilities_and_construction,2018-2019,7729236.05,7872851.46
1_facilities_and_construction,2019-2020,1937609.68,1917129.76
1_facilities_and_construction,2020-2021,2491689.61,2371711.17
1_facilities_and_construction,2021-2022,6267495.76,5775545.38
1_facilities_and_construction,2022-2023,9382903.43,8396187.87
2_professional_services,2018-2019,475207.80,486625.81
6_industrial_products_and_services,2017-2018,301536.00,310194.32
6_industrial_products_and_services,2018-2019,245696.00,252255.30
6_industrial_products_and_services,2019-2020,1024791.22,1007092.25
6_industrial_products_and_services,2020-2021,1893372.53,1803097.82
