owner_org,d_fiscal_year,total,total_constant_2019_dollars
cfia-acia,2017-2018,3000440.88,3092402.11
cfia-acia,2019-2020,186044.33,185923.44
dfo-mpo,2017-2018,26590.18,27350.09
dfo-mpo,2018-2019,475207.80,486265.27
dnd-mdn,2017-2018,433920.91,446023.39
dnd-mdn,2018-2019,978127.26,993263.16
dnd-mdn,2019-2020,1014642.69,1004493.59
dnd-mdn,2020-2021,1778398.27,1695129.63
dnd-mdn,2021-2022,1250797.08,1183067.50
pwgsc-tpsgc,2017-2018,6320504.92,6508642.26
pwgsc-tpsgc,2018-2019,6996804.80,7124699.24
pwgsc-tpsgc,2019-2020,1761713.88,1732996.32
pwgsc-tpsgc,2020-2021,2606663.86,2489265.25
pwgsc-tpsgc,2021-2022,4866051.97,4491377.77
