d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2018-2019,5440.37,5493.90
10_office_management,2019-2020,19521.33,19564.33
2_professional_services,2017-2018,1890025.87,1938015.76
2_professional_services,2018-2019,2635980.69,2676797.96
2_professional_services,2019-2020,1032698.11,1024089.72
2_professional_services,2020-2021,1667765.18,1585568.29
2_professional_services,2021-2022,2037037.66,1886089.69
3_information_technology,2017-2018,27163.97,27811.03
3_information_technology,2018-2019,34330.63,34892.16
3_information_technology,2019-2020,1009434.89,993912.50
3_information_technology,2020-2021,1713691.78,1629155.85
3_information_technology,2021-2022,1900454.80,1764817.97
9_human_capital,2018-2019,24973.00,25321.53
