d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,590179.41
1_facilities_and_construction,2018-2019,590179.41
1_facilities_and_construction,2019-2020,530353.01
1_facilities_and_construction,2020-2021,24577.50
11_defence,2019-2020,21738.16
11_defence,2020-2021,377829.84
2_professional_services,2017-2018,6697755.99
2_professional_services,2018-2019,7324508.68
2_professional_services,2019-2020,6013771.29
2_professional_services,2020-2021,7810310.65
2_professional_services,2021-2022,12301368.75
3_information_technology,2017-2018,1884795.40
3_information_technology,2018-2019,1915808.52
3_information_technology,2019-2020,705932.60
3_information_technology,2020-2021,1709809.63
3_information_technology,2021-2022,1706377.39
4_medical,2021-2022,19450.13
9_human_capital,2017-2018,303941.51
9_human_capital,2018-2019,378392.10
9_human_capital,2019-2020,277060.32
9_human_capital,2020-2021,298839.19
9_human_capital,2021-2022,259985.63
