owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,81758.70,83691.67
aafc-aac,2018-2019,153278.82,154867.86
aafc-aac,2019-2020,144601.08,144507.84
aafc-aac,2020-2021,64705.25,64279.14
aafc-aac,2021-2022,33826.41,22481.86
aandc-aadnc,2018-2019,68109.69,68737.18
cfia-acia,2017-2018,14373.02,14619.91
cfia-acia,2018-2019,33217.48,33731.60
cfia-acia,2019-2020,13679.70,13698.45
cfia-acia,2020-2021,99072.76,94113.37
cfia-acia,2021-2022,322136.29,62115.62
cgc-ccg,2019-2020,614.93,615.77
cgc-ccg,2020-2021,17688.51,17261.19
cgc-ccg,2021-2022,4879.35,3706.55
dfo-mpo,2017-2018,77458.54,79200.94
dfo-mpo,2018-2019,171376.62,174005.13
dfo-mpo,2021-2022,6355.97,3816.87
dnd-mdn,2017-2018,35160.75,36081.23
ec,2017-2018,72074.68,73400.12
ec,2018-2019,89830.66,90699.99
hc-sc,2017-2018,114850.04,117123.67
hc-sc,2018-2019,82184.52,83412.20
hc-sc,2019-2020,1687.46,1686.69
hc-sc,2020-2021,109090.51,105935.91
hc-sc,2021-2022,11043.47,8374.53
nrc-cnrc,2017-2018,80189.77,82437.54
nrc-cnrc,2018-2019,466475.52,471526.97
nrc-cnrc,2019-2020,90437.93,90425.52
nrc-cnrc,2020-2021,320710.55,315641.83
nrc-cnrc,2021-2022,1059445.92,804939.64
nrcan-rncan,2017-2018,183027.35,186494.90
nrcan-rncan,2018-2019,4015.11,4074.21
nrcan-rncan,2019-2020,22168.59,22101.72
phac-aspc,2017-2018,31637.13,32485.18
phac-aspc,2018-2019,425126.83,430488.12
phac-aspc,2019-2020,189266.26,188844.80
phac-aspc,2020-2021,284560.40,276120.41
phac-aspc,2021-2022,586076.39,446484.32
