d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2018-2019,17745.26,17919.86
2_professional_services,2019-2020,437604.81,430075.51
2_professional_services,2020-2021,619128.99,588091.64
2_professional_services,2021-2022,376065.56,348339.10
3_information_technology,2019-2020,144658.87,141851.84
3_information_technology,2020-2021,311620.56,296060.08
3_information_technology,2021-2022,328819.72,305291.03
9_human_capital,2018-2019,7294.88,7369.96
9_human_capital,2019-2020,24721.54,24512.92
9_human_capital,2020-2021,88998.61,84578.11
9_human_capital,2021-2022,106627.91,98539.98
