owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2018-2019,4632857.54,4703377.50
dnd-mdn,2019-2020,9975699.84,9903211.22
dnd-mdn,2020-2021,4182333.17,3988683.80
dnd-mdn,2021-2022,3267591.45,3085183.91
pwgsc-tpsgc,2017-2018,11110333.65,11450980.69
pwgsc-tpsgc,2018-2019,10966113.25,11166562.59
pwgsc-tpsgc,2019-2020,4542551.80,4506303.57
pwgsc-tpsgc,2020-2021,5208733.29,4966778.06
pwgsc-tpsgc,2021-2022,299269.20,285146.23
rcmp-grc,2018-2019,254961.50,257789.20
rcmp-grc,2019-2020,174447.35,175081.85
