owner_org,d_fiscal_year,total
atssc-scdata,2020-2021,2034.21320754717
cas-satj,2017-2018,24998
cas-satj,2018-2019,17558
cas-satj,2019-2020,93564
cas-satj,2020-2021,11203.541342465754
cer-rec,2017-2018,19952.26445346081
cer-rec,2018-2019,22122.424109589043
cer-rec,2019-2020,17070.691666666666
cer-rec,2020-2021,3414.1383333333333
cgc-ccg,2019-2020,5126.664986376021
cgc-ccg,2020-2021,43450.52171956147
chrc-ccdp,2020-2021,22090.984051910596
cihr-irsc,2017-2018,1912.191780821918
cihr-irsc,2018-2019,11012.808219178083
cihr-irsc,2020-2021,9657.788493150685
cpc-cpp,2020-2021,17900.68602739726
crtc,2019-2020,40620.20833333333
crtc,2020-2021,41436.56988584475
cta-otc,2020-2021,14753.62126027397
dfatd-maecd,2018-2019,28614.58
dnd-mdn,2018-2019,32205.694672131147
dnd-mdn,2019-2020,51011.154672131146
dnd-mdn,2020-2021,207626.09545025823
elections,2018-2019,40079.73739269407
elections,2019-2020,68972.16760730594
elections,2020-2021,88596.39773972602
fcac-acfc,2017-2018,19520.3
fcac-acfc,2019-2020,10477.54
ic,2017-2018,451.9158904109589
ic,2018-2019,18030.18868493151
ic,2019-2020,18631.485424657534
ic,2020-2021,127.04197260273972
nserc-crsng,2017-2018,1550.52098630137
nserc-crsng,2018-2019,33596.50901369863
nserc-crsng,2019-2020,154002.94666666666
nserc-crsng,2020-2021,46602.05513324098
oag-bvg,2019-2020,113978.59999999999
oag-bvg,2020-2021,608077.86
ocol-clo,2019-2020,1181.1700819672133
ocol-clo,2020-2021,73246.73991803278
osfi-bsif,2017-2018,14947.006818810905
osfi-bsif,2018-2019,24224.828273972606
osfi-bsif,2019-2020,32093.133333333328
osfi-bsif,2020-2021,151813.39857458702
osgg-bsgg,2017-2018,4745.851397260274
osgg-bsgg,2018-2019,6725.908602739726
osgg-bsgg,2019-2020,15153.300000000001
osgg-bsgg,2020-2021,3030.6600000000003
pwgsc-tpsgc,2018-2019,5426.047972602739
pwgsc-tpsgc,2019-2020,19024.66202739726
rcmp-grc,2020-2021,15820.000000000002
ssc-spc,2017-2018,4638623.697237637
ssc-spc,2018-2019,2805409.125046343
ssc-spc,2019-2020,4666255.816762241
ssc-spc,2020-2021,7240080.992608159
tsb-bst,2020-2021,14394.812923076925
wage,2019-2020,34174.6225
wage,2020-2021,47196.93048630137
