owner_org,d_fiscal_year,total,total_constant_2019_dollars
atssc-scdata,2020-2021,2034.21,1915.45
atssc-scdata,2021-2022,28501.10,26184.22
cas-satj,2017-2018,24998.00,25587.25
cas-satj,2018-2019,17558.00,17939.35
cas-satj,2019-2020,93564.00,91555.19
cas-satj,2020-2021,11203.54,10558.49
cas-satj,2021-2022,90374.77,83820.01
cer-rec,2017-2018,19952.26,20467.26
cer-rec,2018-2019,22122.42,22486.06
cer-rec,2019-2020,17070.69,16885.68
cer-rec,2020-2021,3414.14,3222.88
cgc-ccg,2019-2020,5126.66,5002.60
cgc-ccg,2020-2021,43450.52,41307.89
cgc-ccg,2021-2022,86424.69,80304.94
chrc-ccdp,2020-2021,22090.98,21003.71
chrc-ccdp,2021-2022,15490.82,14647.51
cihr-irsc,2017-2018,1912.19,1957.27
cihr-irsc,2018-2019,11012.81,11195.00
cihr-irsc,2020-2021,9657.79,9194.34
cihr-irsc,2021-2022,1937.91,1832.41
cpc-cpp,2020-2021,17900.69,17041.68
cpc-cpp,2021-2022,21526.48,19986.04
crtc,2019-2020,40620.21,40179.97
crtc,2020-2021,41436.57,39382.88
crtc,2021-2022,6684.42,6320.53
cta-otc,2020-2021,14753.62,13934.60
cta-otc,2021-2022,50271.94,46637.99
dfatd-maecd,2018-2019,28614.58,28896.12
dfatd-maecd,2021-2022,5661.76,5113.71
dnd-mdn,2018-2019,32205.69,32570.36
dnd-mdn,2019-2020,51011.15,50590.14
dnd-mdn,2020-2021,207626.10,197519.45
dnd-mdn,2021-2022,285517.50,265051.06
elections,2018-2019,40079.74,40637.52
elections,2019-2020,68972.17,68390.59
elections,2020-2021,88596.40,84252.61
elections,2021-2022,197716.83,186953.35
fcac-acfc,2017-2018,19520.30,19998.15
fcac-acfc,2019-2020,10477.54,10377.90
ic,2017-2018,451.92,462.57
ic,2018-2019,18030.19,18312.28
ic,2019-2020,18631.49,18477.50
ic,2020-2021,127.04,119.63
ic,2021-2022,11697.53,10857.86
nserc-crsng,2017-2018,1550.52,1587.07
nserc-crsng,2018-2019,33596.51,34068.38
nserc-crsng,2019-2020,154002.95,150518.71
nserc-crsng,2020-2021,46602.06,44184.62
nserc-crsng,2021-2022,127279.09,118154.64
oag-bvg,2019-2020,113978.60,113467.26
oag-bvg,2020-2021,194497.86,185717.31
oag-bvg,2021-2022,122884.53,115989.03
ocol-clo,2019-2020,1181.17,1152.59
ocol-clo,2020-2021,73246.74,69088.71
ocol-clo,2021-2022,42664.26,38642.02
opc-cpvp,2021-2022,19300.84,17808.94
osfi-bsif,2017-2018,14947.01,15334.27
osfi-bsif,2018-2019,24224.83,24601.94
osfi-bsif,2019-2020,32093.13,31745.31
osfi-bsif,2020-2021,151813.40,143984.91
osfi-bsif,2021-2022,247439.84,229404.74
osgg-bsgg,2017-2018,4745.85,4859.50
osgg-bsgg,2018-2019,6725.91,6852.41
osgg-bsgg,2019-2020,15153.30,14989.07
osgg-bsgg,2020-2021,3030.66,2860.88
osgg-bsgg,2021-2022,49975.78,45890.90
pwgsc-tpsgc,2018-2019,5426.05,5479.43
pwgsc-tpsgc,2019-2020,19024.66,18950.69
rcmp-grc,2020-2021,15820.00,15136.25
ssc-spc,2017-2018,5203623.70,5338253.73
ssc-spc,2018-2019,3370409.13,3425847.00
ssc-spc,2019-2020,4760680.47,4706454.99
ssc-spc,2020-2021,7240080.99,6878627.56
ssc-spc,2021-2022,5104655.33,4746514.83
tsb-bst,2020-2021,14394.81,13695.26
tsb-bst,2021-2022,2668.95,2523.65
wage,2019-2020,34174.62,34035.09
wage,2020-2021,47196.93,44907.51
wage,2021-2022,284915.36,269404.89
