d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,5239699.68,5380078.33
11_defence,2018-2019,1758019.08,1786382.55
11_defence,2019-2020,1916617.00,1883895.95
11_defence,2021-2022,239813.03,221349.13
5_transportation_and_logistics,2017-2018,879660.50,902430.78
5_transportation_and_logistics,2018-2019,717368.12,728296.92
5_transportation_and_logistics,2019-2020,422925.13,421834.38
5_transportation_and_logistics,2020-2021,62806.42,59708.20
5_transportation_and_logistics,2021-2022,881046.70,810000.35
6_industrial_products_and_services,2017-2018,150840.43,154785.43
