d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,861334.29,883362.18
1_facilities_and_construction,2018-2019,1076568.79,1090041.41
1_facilities_and_construction,2019-2020,1083519.46,1070647.64
1_facilities_and_construction,2020-2021,1251435.96,1188369.13
1_facilities_and_construction,2021-2022,2438860.13,1590819.13
2_professional_services,2017-2018,222539.00,228275.41
2_professional_services,2018-2019,372066.33,377852.86
2_professional_services,2019-2020,207938.05,205445.08
2_professional_services,2020-2021,219491.99,208545.34
2_professional_services,2021-2022,237638.09,109035.27
6_industrial_products_and_services,2020-2021,945.18,890.00
6_industrial_products_and_services,2021-2022,17249.62,13493.76
