owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2017-2018,16014195.61,16505018.50
dnd-mdn,2018-2019,16014195.61,16306918.74
dnd-mdn,2019-2020,16058070.12,15929202.48
dnd-mdn,2020-2021,16014195.61,15267525.17
dnd-mdn,2021-2022,16014195.61,14985460.36
elections,2019-2020,46679.86,46271.32
pc,2018-2019,50750.00,51680.38
ppsc-sppc,2019-2020,20012.30,20085.09
pwgsc-tpsgc,2017-2018,32481.00,33471.39
pwgsc-tpsgc,2018-2019,37821.91,38144.46
pwgsc-tpsgc,2019-2020,767.68,770.48
pwgsc-tpsgc,2020-2021,33270.46,31774.55
pwgsc-tpsgc,2021-2022,60093.22,55325.31
rcmp-grc,2017-2018,275375.05,283815.09
rcmp-grc,2018-2019,275375.05,280408.63
rcmp-grc,2019-2020,276129.50,273913.54
rcmp-grc,2020-2021,275375.05,262535.54
rcmp-grc,2021-2022,218254.48,205747.19
