d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2019-2020,543562.27,532928.91
0_other,2020-2021,1469631.34,1401108.99
0_other,2021-2022,1469631.34,1375223.75
11_defence,2020-2021,34983.56,33267.66
11_defence,2021-2022,113000.00,105741.00
2_professional_services,2021-2022,77214.33,70648.93
3_information_technology,2020-2021,1589.43,1515.40
3_information_technology,2021-2022,94159.52,88110.81
6_industrial_products_and_services,2017-2018,100905.20,103997.87
6_industrial_products_and_services,2018-2019,102993.97,104752.99
6_industrial_products_and_services,2019-2020,629488.62,624417.74
6_industrial_products_and_services,2020-2021,268176.05,255484.94
6_industrial_products_and_services,2021-2022,277040.12,257189.94
