owner_org,d_fiscal_year,total
aafc-aac,2018-2019,6411.525307797538
aafc-aac,2019-2020,47315.819593652166
aafc-aac,2020-2021,21035.61268480904
cbsa-asfc,2019-2020,39460.57179138322
cbsa-asfc,2020-2021,305340.31820861675
cfia-acia,2020-2021,19755.39110642782
cgc-ccg,2018-2019,136721.17
cgc-ccg,2020-2021,31463.25
dnd-mdn,2017-2018,357557.71
dnd-mdn,2019-2020,15365.449999999999
dnd-mdn,2020-2021,730576.4400000001
ec,2017-2018,78173.87171146618
ec,2018-2019,115139.85262313457
ec,2019-2020,34557.77566539924
ec,2020-2021,32869.94
hc-sc,2017-2018,878756.1187507657
hc-sc,2018-2019,175618.5924914468
hc-sc,2019-2020,1090868.4583552096
hc-sc,2020-2021,237580.1962991112
nrc-cnrc,2017-2018,60737.07873972603
nrc-cnrc,2018-2019,98506.33126027398
nrc-cnrc,2019-2020,116426.13
nrc-cnrc,2020-2021,449949.61739583337
pc,2019-2020,20681.260000000002
pc,2020-2021,17936.1
phac-aspc,2017-2018,39793.993839835726
phac-aspc,2018-2019,39793.993839835726
phac-aspc,2019-2020,39988.64
phac-aspc,2020-2021,75139.2478094195
