owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,3149054.74,3246395.41
aafc-aac,2018-2019,3149054.74,3209400.52
aafc-aac,2019-2020,3157682.28,3132493.52
aafc-aac,2020-2021,2685249.70,2557098.06
aafc-aac,2021-2022,2673226.50,2485367.28
aafc-aac,2022-2023,2688778.05,2405776.55
cfia-acia,2017-2018,7608474.48,7840911.25
cfia-acia,2018-2019,7788396.52,7929885.28
cfia-acia,2019-2020,6182316.46,6122066.66
cfia-acia,2020-2021,6420694.02,6115425.27
cfia-acia,2021-2022,7212773.33,6690329.08
cfia-acia,2022-2023,3661003.90,3271759.50
cgc-ccg,2019-2020,4528.90,4442.31
cgc-ccg,2020-2021,12523.10,11926.01
cgc-ccg,2021-2022,13724.60,12725.08
cgc-ccg,2022-2023,15753.07,14095.92
csc-scc,2017-2018,63818.46,65824.76
csc-scc,2018-2019,33400.68,34098.95
csc-scc,2019-2020,104797.33,102759.63
csc-scc,2020-2021,73142.41,69756.98
csc-scc,2021-2022,100457.00,93164.51
csc-scc,2022-2023,167761.83,149968.81
dfatd-maecd,2017-2018,20388.25,20970.51
dfatd-maecd,2022-2023,17081.61,15185.37
dfo-mpo,2017-2018,205034.14,211514.93
dfo-mpo,2018-2019,27594.00,28172.41
dfo-mpo,2019-2020,0.00,0.00
dfo-mpo,2020-2021,15120.00,14247.21
dfo-mpo,2021-2022,44384.55,40364.45
dfo-mpo,2022-2023,156408.12,138732.24
dnd-mdn,2017-2018,615240.38,634136.41
dnd-mdn,2018-2019,954931.27,973404.94
dnd-mdn,2019-2020,579694.31,577047.69
dnd-mdn,2020-2021,129543.15,123514.18
dnd-mdn,2021-2022,204915.11,189832.01
dnd-mdn,2022-2023,157924.97,141369.40
ec,2017-2018,60511.94,62411.05
ec,2018-2019,56926.05,57881.38
ec,2019-2020,16051.65,15859.19
ec,2020-2021,5462.66,5147.33
ec,2021-2022,47045.51,43455.08
ec,2022-2023,149206.78,132961.05
hc-sc,2018-2019,17565.85,17729.94
hc-sc,2021-2022,37331.53,33747.11
hc-sc,2022-2023,33515.42,29659.32
isc-sac,2017-2018,120489.05,124074.75
isc-sac,2018-2019,207445.76,211421.07
isc-sac,2019-2020,208014.11,206354.78
isc-sac,2020-2021,207445.76,197554.89
isc-sac,2021-2022,207445.76,192867.65
isc-sac,2022-2023,207445.76,185623.34
nrc-cnrc,2017-2018,65810.31,67949.31
nrc-cnrc,2022-2023,11727.45,10490.40
nrcan-rncan,2017-2018,184910.74,190209.85
nrcan-rncan,2018-2019,0.00,0.00
nrcan-rncan,2019-2020,33649.98,32881.91
nrcan-rncan,2020-2021,577116.31,547346.97
nrcan-rncan,2021-2022,714277.00,665704.13
nrcan-rncan,2022-2023,365914.51,325235.89
pc,2018-2019,21000.00,21281.24
pc,2019-2020,15600.17,15506.77
pc,2020-2021,6229.76,5932.73
pc,2021-2022,2082.28,1967.76
pc,2022-2023,32576.01,29106.26
pwgsc-tpsgc,2017-2018,207908.19,214222.49
pwgsc-tpsgc,2018-2019,618447.35,627563.96
pwgsc-tpsgc,2019-2020,1061007.82,1047732.33
pwgsc-tpsgc,2020-2021,1676252.92,1597676.88
pwgsc-tpsgc,2021-2022,1668666.73,1539920.60
pwgsc-tpsgc,2022-2023,1231368.30,1098685.56
rcmp-grc,2017-2018,4320.11,4443.89
rcmp-grc,2018-2019,15768.39,16070.56
rcmp-grc,2019-2020,38799.57,38379.86
rcmp-grc,2020-2021,235558.87,225109.94
rcmp-grc,2021-2022,152781.86,141638.34
rcmp-grc,2022-2023,430319.68,383695.94
