d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1245754.77,1283227.42
1_facilities_and_construction,2018-2019,1679907.51,1708193.70
1_facilities_and_construction,2019-2020,1947710.91,1935334.51
1_facilities_and_construction,2020-2021,946565.09,902143.68
1_facilities_and_construction,2021-2022,1854942.41,1741072.44
11_defence,2017-2018,952707.92,981817.65
11_defence,2018-2019,936423.40,953711.28
11_defence,2019-2020,497078.80,495582.40
11_defence,2021-2022,24874.13,22617.32
2_professional_services,2017-2018,101690.09,104847.89
2_professional_services,2018-2019,264775.03,268744.90
2_professional_services,2019-2020,699293.18,693485.24
2_professional_services,2020-2021,1392066.58,1327756.22
2_professional_services,2021-2022,842865.94,788695.45
3_information_technology,2017-2018,701.43,720.76
3_information_technology,2018-2019,24217.97,24549.33
3_information_technology,2019-2020,14110.72,14009.69
3_information_technology,2020-2021,11891.43,11278.32
3_information_technology,2021-2022,51671.07,48351.78
6_industrial_products_and_services,2017-2018,172168.39,177445.22
6_industrial_products_and_services,2018-2019,372356.36,378582.67
6_industrial_products_and_services,2019-2020,287328.62,285022.78
6_industrial_products_and_services,2020-2021,286543.57,273183.32
9_human_capital,2019-2020,39889.00,39352.83
