owner_org,d_fiscal_year,total
aafc-aac,2017-2018,31918.30
aafc-aac,2018-2019,85673.51
aafc-aac,2019-2020,91445.72
aafc-aac,2020-2021,35211.69
aafc-aac,2021-2022,46141.04
aandc-aadnc,2017-2018,10972.86
dfo-mpo,2017-2018,106943.76
dfo-mpo,2018-2019,24240.40
dfo-mpo,2019-2020,45384.76
dfo-mpo,2020-2021,94264.60
dfo-mpo,2021-2022,17850.09
dnd-mdn,2017-2018,50763.08
dnd-mdn,2018-2019,66663.05
dnd-mdn,2019-2020,19246.81
dnd-mdn,2020-2021,13213.50
ec,2017-2018,1116390.20
ec,2018-2019,1051698.32
ec,2019-2020,815869.82
ec,2020-2021,922255.42
ec,2021-2022,929282.25
nrc-cnrc,2017-2018,43383.25
nrc-cnrc,2018-2019,93248.89
nrc-cnrc,2019-2020,30090.66
nrcan-rncan,2017-2018,39977.68
nrcan-rncan,2018-2019,120403.49
nrcan-rncan,2019-2020,91762.28
nrcan-rncan,2020-2021,78305.65
pc,2017-2018,36862.15
pc,2020-2021,33862.50
pc,2021-2022,24705.19
pwgsc-tpsgc,2018-2019,63736.44
pwgsc-tpsgc,2019-2020,319555.31
pwgsc-tpsgc,2020-2021,19208.24
