d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,39576161.50
10_office_management,2018-2019,39020056.59
10_office_management,2019-2020,107625969.47
10_office_management,2020-2021,116393346.18
2_professional_services,2017-2018,309918.94
2_professional_services,2018-2019,309918.94
2_professional_services,2019-2020,310768.03
2_professional_services,2020-2021,309918.94
3_information_technology,2017-2018,1475305.73
3_information_technology,2018-2019,1475305.73
3_information_technology,2019-2020,1522798.06
3_information_technology,2020-2021,1475305.73
