d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,6810.60,6927.59
1_facilities_and_construction,2018-2019,621467.33,629398.19
1_facilities_and_construction,2019-2020,304774.39,304635.35
2_professional_services,2017-2018,3470915.18,3553169.69
2_professional_services,2018-2019,1237397.41,1253006.64
2_professional_services,2019-2020,345496.72,344791.68
2_professional_services,2020-2021,58010.38,56349.08
2_professional_services,2021-2022,76773.06,58319.92
3_information_technology,2017-2018,1308913.93,1344000.06
3_information_technology,2019-2020,690471.96,688566.71
3_information_technology,2020-2021,996135.43,975204.37
3_information_technology,2021-2022,308392.61,284167.46
