d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1716775.21,1760124.05
1_facilities_and_construction,2018-2019,2164665.17,2193571.62
1_facilities_and_construction,2019-2020,1164581.34,1162104.72
1_facilities_and_construction,2020-2021,2798945.24,2717246.83
1_facilities_and_construction,2021-2022,4200446.43,2861875.15
2_professional_services,2017-2018,677175.34,690879.34
2_professional_services,2018-2019,386513.23,391812.63
2_professional_services,2019-2020,42207.01,42092.75
2_professional_services,2020-2021,132358.93,125538.55
2_professional_services,2021-2022,2336673.60,1378440.74
5_transportation_and_logistics,2017-2018,249908.80,255922.58
5_transportation_and_logistics,2018-2019,121763.08,123304.42
5_transportation_and_logistics,2019-2020,142639.17,142374.82
5_transportation_and_logistics,2020-2021,37375.00,36427.32
5_transportation_and_logistics,2021-2022,260308.25,206475.01
