d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2018-2019,55432.15,55977.55
10_office_management,2019-2020,31852.85,31966.11
2_professional_services,2018-2019,1857559.79,1876605.07
2_professional_services,2019-2020,2415409.87,2409119.70
2_professional_services,2020-2021,535653.03,508639.61
2_professional_services,2021-2022,428131.45,320535.13
4_medical,2019-2020,23730.00,23661.58
4_medical,2020-2021,14690.00,14020.61
4_medical,2021-2022,2402.53,0.00
9_human_capital,2018-2019,23603.70,23886.33
9_human_capital,2019-2020,75767.68,75127.63
9_human_capital,2020-2021,14928.62,14092.32
9_human_capital,2021-2022,13831.20,12980.40
