d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2021-2022,12526.86,11601.99
11_defence,2017-2018,48818.39,50194.36
11_defence,2018-2019,33911.88,34337.68
11_defence,2019-2020,34000.00,33351.49
3_information_technology,2020-2021,210136.42,201054.25
4_medical,2018-2019,176256.68,178074.35
5_transportation_and_logistics,2017-2018,39609.35,40578.36
5_transportation_and_logistics,2018-2019,242643.81,247743.13
5_transportation_and_logistics,2020-2021,393578.08,370964.11
5_transportation_and_logistics,2021-2022,681779.00,643445.39
7_travel,2017-2018,315905.07,324040.04
7_travel,2018-2019,153704.45,156083.56
7_travel,2019-2020,91475.41,91200.67
7_travel,2020-2021,371138.50,353036.85
7_travel,2021-2022,509636.47,476579.53
