d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,74414.94,76229.70
1_facilities_and_construction,2018-2019,74770.34,75819.08
1_facilities_and_construction,2019-2020,128338.06,125916.75
1_facilities_and_construction,2020-2021,39550.06,37642.79
1_facilities_and_construction,2021-2022,128571.54,96155.68
10_office_management,2017-2018,17249.45,17695.72
2_professional_services,2017-2018,157838.79,161938.80
2_professional_services,2018-2019,195791.88,198470.67
2_professional_services,2019-2020,237678.90,237815.59
3_information_technology,2017-2018,37049.36,37978.88
3_information_technology,2018-2019,49018.04,49889.62
3_information_technology,2019-2020,5197.21,5215.69
6_industrial_products_and_services,2017-2018,197100.14,202144.61
6_industrial_products_and_services,2018-2019,269985.09,273382.50
6_industrial_products_and_services,2019-2020,402673.29,397423.50
6_industrial_products_and_services,2020-2021,439526.95,418172.83
6_industrial_products_and_services,2021-2022,467981.76,318033.78
8_security_and_protection,2017-2018,1142403.52,1171999.36
8_security_and_protection,2018-2019,1468324.41,1490718.85
8_security_and_protection,2019-2020,1510270.43,1497877.67
8_security_and_protection,2020-2021,1505619.94,1431211.67
8_security_and_protection,2021-2022,1524461.87,1189245.22
9_human_capital,2018-2019,6025.59,6084.88
9_human_capital,2019-2020,5477.81,5497.29
