owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,568256.96,583489.38
aafc-aac,2018-2019,605775.26,613394.50
aafc-aac,2019-2020,189840.00,189465.33
aafc-aac,2020-2021,177616.47,171674.90
aafc-aac,2021-2022,254598.77,193403.52
aandc-aadnc,2017-2018,56234.27,57208.63
atssc-scdata,2017-2018,999696.33,1026483.06
atssc-scdata,2018-2019,1611809.14,1632566.53
atssc-scdata,2019-2020,2105002.73,2099964.46
atssc-scdata,2020-2021,1518029.02,1487130.82
atssc-scdata,2021-2022,250642.39,230930.61
cas-satj,2019-2020,24860.00,24894.09
cas-satj,2021-2022,400642.28,286021.65
cbsa-asfc,2017-2018,45451.31,46669.66
cbsa-asfc,2018-2019,11331.70,11451.91
cfia-acia,2020-2021,9091.98,8693.03
cfia-acia,2021-2022,23206.81,17628.83
chrc-ccdp,2018-2019,23987.64,24358.90
cic,2018-2019,155219.40,157682.24
cic,2019-2020,234534.81,233789.04
cics-scic,2021-2022,17651.79,0.00
cihr-irsc,2018-2019,5299.59,5350.87
cihr-irsc,2019-2020,10775.82,10770.91
cnsc-ccsn,2017-2018,379885.85,390770.66
cnsc-ccsn,2018-2019,323498.09,327625.75
cnsc-ccsn,2019-2020,375283.39,374514.71
cnsc-ccsn,2020-2021,374258.02,366394.01
cnsc-ccsn,2021-2022,361134.94,278369.21
cpc-cpp,2019-2020,43921.00,43832.11
cpc-cpp,2021-2022,41629.20,37737.21
crtc,2017-2018,2131302.67,2188433.35
crtc,2018-2019,951659.17,963803.78
crtc,2019-2020,3555249.96,3547981.32
crtc,2020-2021,977143.52,956611.52
crtc,2021-2022,320540.18,261911.51
csc-scc,2017-2018,11513251.50,11821763.47
csc-scc,2018-2019,11497524.44,11644250.27
csc-scc,2019-2020,11594835.70,11571028.55
csc-scc,2020-2021,11497524.44,11255935.41
csc-scc,2021-2022,4815308.77,4337968.64
csps-efpc,2021-2022,39091.50,36108.55
dfatd-maecd,2017-2018,23456.04,24066.78
dfatd-maecd,2018-2019,138545.13,140116.35
dfatd-maecd,2019-2020,288093.89,287529.49
dfatd-maecd,2021-2022,39493.50,36024.25
dfo-mpo,2017-2018,373324.24,383331.39
dfo-mpo,2018-2019,458609.94,464374.48
dfo-mpo,2019-2020,745675.10,744074.86
dfo-mpo,2020-2021,512637.51,501195.31
dfo-mpo,2021-2022,260097.49,142377.32
dnd-mdn,2020-2021,156871.87,151223.99
dnd-mdn,2021-2022,89115.01,82060.02
ec,2018-2019,37786.63,38218.40
ec,2019-2020,131713.38,131443.60
elections,2017-2018,7368.63,7495.20
elections,2018-2019,16344.96,16510.63
esdc-edsc,2017-2018,149361.16,152902.23
esdc-edsc,2018-2019,24763.32,25026.03
esdc-edsc,2019-2020,47657.06,47685.11
esdc-edsc,2020-2021,39995.02,39011.58
esdc-edsc,2021-2022,1944656.34,1307381.79
fcac-acfc,2017-2018,91470.77,93922.69
fin,2017-2018,491870.23,505055.06
fin,2018-2019,594758.26,601992.83
fin,2019-2020,503252.71,502221.92
fin,2020-2021,501877.71,491332.12
fin,2021-2022,150933.36,103441.41
hc-sc,2017-2018,1680191.57,1718350.69
hc-sc,2018-2019,4886613.80,4951493.41
hc-sc,2019-2020,5726183.03,5713888.94
hc-sc,2020-2021,5699776.08,5574435.79
hc-sc,2021-2022,6472478.76,4867989.30
ic,2017-2018,350713.47,360114.53
ic,2018-2019,533615.37,540494.47
ic,2019-2020,83536.69,83403.86
ic,2020-2021,207857.81,201367.59
ic,2021-2022,173244.55,49701.50
ijc-cmi,2018-2019,10331.98,10471.22
ijc-cmi,2019-2020,15424.34,15391.89
ijc-cmi,2020-2021,15950.61,15615.13
ijc-cmi,2021-2022,16379.64,12419.85
infc,2021-2022,64406.53,37325.90
irb-cisr,2018-2019,14767.19,14910.10
irb-cisr,2019-2020,88603.13,88421.65
irb-cisr,2020-2021,141238.52,137813.84
irb-cisr,2021-2022,790773.69,539279.34
jus,2017-2018,47754.23,49426.86
jus,2018-2019,28386.68,28748.94
jus,2019-2020,33899.28,33906.52
jus,2020-2021,27442.77,27199.09
lac-bac,2020-2021,13278.49,12550.98
lac-bac,2021-2022,703817.52,537845.52
nrc-cnrc,2017-2018,535003.26,547253.61
nrc-cnrc,2018-2019,1088000.11,1101649.63
nrc-cnrc,2019-2020,1673830.63,1670036.89
nrc-cnrc,2020-2021,1841210.46,1796362.13
nrc-cnrc,2021-2022,1991815.78,1550273.54
nrcan-rncan,2017-2018,18321.61,18636.32
nrcan-rncan,2018-2019,639165.49,648044.24
nrcan-rncan,2019-2020,1302559.54,1300031.76
nrcan-rncan,2020-2021,1282982.87,1254437.47
nrcan-rncan,2021-2022,1430788.59,920167.87
oag-bvg,2017-2018,31463.89,32024.99
oag-bvg,2018-2019,109216.46,110617.79
oag-bvg,2019-2020,400624.12,399597.15
oag-bvg,2020-2021,442266.87,432973.84
oag-bvg,2021-2022,442266.87,335963.79
ocl-cal,2021-2022,31347.76,0.00
osgg-bsgg,2019-2020,15572.81,15594.16
pc,2019-2020,105777.00,105251.49
phac-aspc,2021-2022,39832.50,36432.36
pptc,2017-2018,10013.25,10366.62
ps-sp,2018-2019,1732.97,1749.74
ps-sp,2019-2020,22652.43,22606.03
pwgsc-tpsgc,2019-2020,680751.80,678662.45
pwgsc-tpsgc,2020-2021,1114235.00,1090822.40
pwgsc-tpsgc,2021-2022,1114235.00,846417.94
rcmp-grc,2017-2018,282961.59,290546.52
rcmp-grc,2018-2019,398899.34,403875.98
rcmp-grc,2019-2020,792668.23,790819.67
rcmp-grc,2020-2021,885560.36,866952.73
rcmp-grc,2021-2022,481295.68,439976.04
ssc-spc,2017-2018,375723.24,385018.00
ssc-spc,2018-2019,97051.49,98236.81
ssc-spc,2019-2020,124656.43,124494.16
ssc-spc,2020-2021,45502.36,43009.35
ssc-spc,2021-2022,34289.77,26047.90
sshrc-crsh,2017-2018,40228.00,40973.72
statcan,2020-2021,82485.48,78937.32
statcan,2021-2022,34731.54,4745.27
tbs-sct,2019-2020,383952.55,382943.00
tbs-sct,2020-2021,921991.33,902618.21
tbs-sct,2021-2022,921991.33,700381.88
