owner_org,d_fiscal_year,total
aafc-aac,2017-2018,18080
aafc-aac,2018-2019,27685
aafc-aac,2019-2020,22600
aafc-aac,2020-2021,22600
aandc-aadnc,2017-2018,25448.219178082192
aandc-aadnc,2018-2019,47865.62392050936
aandc-aadnc,2019-2020,52840.53690140846
cbsa-asfc,2020-2021,16950
ced-dec,2017-2018,28743.760000000002
ced-dec,2018-2019,28226.360000000004
ced-dec,2019-2020,29840.43
ced-dec,2020-2021,26407.460000000003
cer-rec,2017-2018,11300
cer-rec,2018-2019,10499
cer-rec,2019-2020,10500
cer-rec,2020-2021,10500
cfia-acia,2017-2018,24192.667200000004
cfia-acia,2018-2019,24180
cfia-acia,2019-2020,28365
cfia-acia,2020-2021,29379.999999999996
cic,2017-2018,25000
cic,2018-2019,24965.7902872777
cic,2019-2020,25034.1897127223
cic,2020-2021,26130
cihr-irsc,2017-2018,21470
cihr-irsc,2018-2019,28250
cihr-irsc,2019-2020,28250.000000000004
cihr-irsc,2020-2021,28250
cra-arc,2017-2018,22600
cra-arc,2018-2019,22600
cra-arc,2019-2020,7032.742818057455
cra-arc,2020-2021,13714.08147169387
csa-asc,2017-2018,17246.25
csa-asc,2018-2019,22995
csa-asc,2019-2020,19545.75
csa-asc,2020-2021,24144.750000000004
csc-scc,2018-2019,10498.949999999999
csc-scc,2019-2020,10499.99
csc-scc,2020-2021,10498.949999999999
cta-otc,2017-2018,1786.8228404099561
cta-otc,2018-2019,2415.519765739385
cta-otc,2019-2020,2422.137628111274
cta-otc,2020-2021,2415.519765739385
dfo-mpo,2017-2018,24860
dfo-mpo,2018-2019,33900
dfo-mpo,2019-2020,18101.718208092487
dfo-mpo,2020-2021,20926.112437068805
ec,2017-2018,22600
ec,2018-2019,649.0524193548387
ec,2019-2020,39592.19758064516
ec,2020-2021,67068.75
elections,2017-2018,16697.29774535809
elections,2018-2019,23702.618225867245
elections,2019-2020,30439.1518269032
elections,2020-2021,17636.003869832894
esdc-edsc,2017-2018,26136.53743315508
esdc-edsc,2018-2019,24950.400000000005
esdc-edsc,2019-2020,23791.02
esdc-edsc,2020-2021,26469.12
fcac-acfc,2017-2018,13560.000000000002
fcac-acfc,2019-2020,14060.89709762533
fcac-acfc,2020-2021,13059.102902374669
hc-sc,2017-2018,26781.000000000004
hc-sc,2018-2019,31174.440000000006
hc-sc,2019-2020,31798.2
hc-sc,2020-2021,32435.52
ic,2017-2018,42703.83
ic,2019-2020,24950.4
ic,2020-2021,69030.62999999999
infc,2017-2018,29041
infc,2018-2019,29529.27446954141
infc,2019-2020,29610.17659137577
infc,2020-2021,29529.27446954141
isc-sac,2018-2019,39413.843098591555
isc-sac,2019-2020,52840.53690140846
jus,2017-2018,18339.9
jus,2019-2020,33900
jus,2020-2021,16950
lac-bac,2019-2020,4047.4973931178315
lac-bac,2020-2021,6451.251303441085
nrc-cnrc,2017-2018,11453.532608695652
nrc-cnrc,2018-2019,11146.467391304348
nrc-cnrc,2019-2020,843.2412060301508
nrc-cnrc,2020-2021,9326.75879396985
nrcan-rncan,2017-2018,34942.202547945206
nrcan-rncan,2018-2019,36551.77900970827
nrcan-rncan,2019-2020,31999.92932504441
nrcan-rncan,2020-2021,32982.872292241416
nserc-crsng,2017-2018,21470
nserc-crsng,2018-2019,11367.8
nserc-crsng,2020-2021,11506.79
osgg-bsgg,2017-2018,22600
osgg-bsgg,2018-2019,22600
osgg-bsgg,2019-2020,22600
pc,2017-2018,11497.5
pc,2018-2019,16096.5
pch,2017-2018,35941.189999999995
pch,2018-2019,36318.2
pch,2019-2020,32226.25412371134
pch,2020-2021,56981.91587628866
pco-bcp,2017-2018,58217.6
pco-bcp,2018-2019,47703.90544715447
pco-bcp,2019-2020,29756.464552845526
pco-bcp,2020-2021,40294.220430107525
ppsc-sppc,2018-2019,4584.281437125749
ppsc-sppc,2019-2020,6191.317365269461
ppsc-sppc,2020-2021,6174.4011976047905
ps-sp,2017-2018,25425
ps-sp,2018-2019,22600
ps-sp,2019-2020,22600
ps-sp,2020-2021,24860
pwgsc-tpsgc,2017-2018,16868.67717614805
pwgsc-tpsgc,2018-2019,38966.473907413674
pwgsc-tpsgc,2019-2020,39073.231370173715
pwgsc-tpsgc,2020-2021,2570246.6975462646
ssc-spc,2017-2018,4368.0672268907565
ssc-spc,2018-2019,6931.9327731092435
sshrc-crsh,2017-2018,10170
swc-cfc,2017-2018,22600
tc,2017-2018,29866.732944469815
tc,2018-2019,29226.5469418788
tc,2019-2020,56377.17391304347
tc,2020-2021,33900
tsb-bst,2017-2018,19775
tsb-bst,2018-2019,19775
tsb-bst,2020-2021,13560
vac-acc,2017-2018,27644.101876675606
vac-acc,2018-2019,45200
vac-acc,2019-2020,51076
vac-acc,2020-2021,45200.00000000001
wage,2020-2021,29289.6
wd-deo,2019-2020,12995
