owner_org,d_fiscal_year,total
aafc-aac,2019-2020,24992.00
aandc-aadnc,2017-2018,76871.56
aandc-aadnc,2018-2019,49493.56
atssc-scdata,2017-2018,155305.06
atssc-scdata,2018-2019,55946.99
cas-satj,2017-2018,49797.09
cas-satj,2018-2019,143466.37
cas-satj,2019-2020,88620.41
cas-satj,2020-2021,64165.05
cihr-irsc,2017-2018,31097.54
cihr-irsc,2018-2019,54624.55
cihr-irsc,2019-2020,14670.56
crtc,2018-2019,57130.72
crtc,2019-2020,18905.08
csa-asc,2018-2019,7654.50
csa-asc,2019-2020,3843.00
dfatd-maecd,2018-2019,24973.00
dfo-mpo,2017-2018,123196.78
dfo-mpo,2018-2019,111083.52
dnd-mdn,2017-2018,104871.14
dnd-mdn,2018-2019,35872.05
jus,2017-2018,24549.77
nserc-crsng,2017-2018,6162.42
nserc-crsng,2018-2019,37687.22
opc-cpvp,2017-2018,814.30
opc-cpvp,2018-2019,39320.07
opc-cpvp,2019-2020,23751.91
osfi-bsif,2017-2018,129424.44
osfi-bsif,2018-2019,158363.77
osfi-bsif,2019-2020,7013.99
phac-aspc,2017-2018,20595.70
pwgsc-tpsgc,2017-2018,163766.46
pwgsc-tpsgc,2018-2019,88304.31
pwgsc-tpsgc,2019-2020,13110.26
ssc-spc,2017-2018,8012598.61
ssc-spc,2018-2019,7057598.99
ssc-spc,2019-2020,485998.99
ssc-spc,2020-2021,51001.96
statcan,2017-2018,157288.70
statcan,2018-2019,305434.30
statcan,2019-2020,314597.56
tbs-sct,2017-2018,78494.89
tbs-sct,2018-2019,107511.24
tbs-sct,2019-2020,57827.78
