owner_org,d_fiscal_year,total
aafc-aac,2017-2018,228214.39
aafc-aac,2018-2019,138606.34
aafc-aac,2019-2020,193809.91999999998
aafc-aac,2020-2021,196154.28999999998
aandc-aadnc,2018-2019,473033.82
cbsa-asfc,2017-2018,417014.83
ccohs-cchst,2020-2021,113000
cfia-acia,2017-2018,97902.40999999999
cfia-acia,2018-2019,96390.31
cfia-acia,2019-2020,262702.4
cfia-acia,2020-2021,927899.5
cgc-ccg,2020-2021,132888
cic,2017-2018,1237188.9295081967
cic,2018-2019,2550377.996133583
cic,2019-2020,2336412.46435822
cic,2020-2021,2497855.5900000003
cra-arc,2017-2018,922344.5482229517
cra-arc,2018-2019,5370559.594892591
cra-arc,2019-2020,2162021.537493649
cra-arc,2020-2021,8198177.295694304
crtc,2017-2018,59955.450000000004
crtc,2018-2019,19119.6
crtc,2019-2020,19594.199999999997
cta-otc,2017-2018,86883.45
cta-otc,2018-2019,193382.55
dfatd-maecd,2017-2018,221930
dfatd-maecd,2018-2019,81057.33183178534
dfatd-maecd,2019-2020,1695990.5881682148
dfatd-maecd,2020-2021,2906189.308363636
dfo-mpo,2018-2019,128051.45999999999
dnd-mdn,2017-2018,3662415.0359620117
dnd-mdn,2018-2019,1008678.1734761905
ec,2017-2018,19955.64
ec,2018-2019,1386585.5899999999
ec,2019-2020,1331883.22
ec,2020-2021,952025
elections,2017-2018,6289137.745209854
elections,2018-2019,6289137.745209854
elections,2019-2020,6306368.259580292
esdc-edsc,2017-2018,5162910.302127659
esdc-edsc,2018-2019,5981779.79787234
esdc-edsc,2019-2020,4667229.2890625
esdc-edsc,2020-2021,2835028.0109375003
fcac-acfc,2017-2018,869619.75
fcac-acfc,2018-2019,608613.2494791666
fcac-acfc,2019-2020,926925.9905208333
fcac-acfc,2020-2021,1808000
fin,2020-2021,23224615.979999997
hc-sc,2017-2018,1072434.3231168832
hc-sc,2018-2019,13861178.79753811
hc-sc,2019-2020,23433113.553728383
hc-sc,2020-2021,81306203.18819201
ic,2017-2018,484669.98000000004
ic,2018-2019,1552941.7799999998
ic,2019-2020,1178499.6
ic,2020-2021,836200
isc-sac,2018-2019,473033.82
isc-sac,2020-2021,1026730.09
nfb-onf,2017-2018,55025
nrcan-rncan,2018-2019,122782.19
nrcan-rncan,2019-2020,240640.46
osgg-bsgg,2020-2021,29380
pc,2017-2018,2961314.090110193
pc,2018-2019,2928471.664305252
pc,2019-2020,2733970.278917888
pch,2017-2018,1999332.32
pch,2018-2019,73095.36
pch,2019-2020,64830.950000000004
pch,2020-2021,134922
pco-bcp,2018-2019,16272
ps-sp,2017-2018,2180647.72
ps-sp,2018-2019,2767204.79
ps-sp,2020-2021,2552453.131313131
pwgsc-tpsgc,2017-2018,3189297.062215811
pwgsc-tpsgc,2018-2019,2483781.41365911
pwgsc-tpsgc,2019-2020,2824175.257144662
pwgsc-tpsgc,2020-2021,406952.20059214777
rcmp-grc,2017-2018,1853225.97
ssc-spc,2017-2018,31693.02379220779
ssc-spc,2018-2019,85668.19620779219
statcan,2019-2020,30633.17
tc,2017-2018,57271.06
tc,2018-2019,292611.25100917433
tc,2019-2020,159287.5989908257
tc,2020-2021,282750.59
vac-acc,2017-2018,1894494.62
vac-acc,2018-2019,3029637.197912503
vac-acc,2019-2020,5060836.352087497
vac-acc,2020-2021,4836400
