d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,99948.06,102876.63
11_defence,2018-2019,89933.07,91627.63
11_defence,2019-2020,95151.06,94884.81
11_defence,2021-2022,64760.80,59027.11
2_professional_services,2017-2018,101700.00,104826.14
2_professional_services,2020-2021,8671.43,8224.35
2_professional_services,2021-2022,97186.52,91291.55
3_information_technology,2017-2018,142016.78,146102.66
3_information_technology,2018-2019,166446.81,170064.07
3_information_technology,2019-2020,666552.18,658697.45
3_information_technology,2020-2021,661450.76,630190.63
3_information_technology,2021-2022,474790.56,445836.91
9_human_capital,2017-2018,45932.51,47338.05
