d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,53268.60,55042.95
11_defence,2019-2020,59184.02,58046.17
5_transportation_and_logistics,2017-2018,488252.10,504063.23
5_transportation_and_logistics,2018-2019,290903.86,296102.64
5_transportation_and_logistics,2019-2020,430319.84,426518.08
5_transportation_and_logistics,2020-2021,858487.59,817480.34
5_transportation_and_logistics,2021-2022,1654883.84,1549068.65
7_travel,2017-2018,13455.75,13881.69
7_travel,2020-2021,99634.00,95814.39
7_travel,2021-2022,54427.50,51001.12
