owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,1518700.65,1557999.46
cbsa-asfc,2018-2019,2164326.48,2197551.32
cbsa-asfc,2019-2020,1473777.81,1461340.64
cbsa-asfc,2020-2021,851522.91,809289.01
cbsa-asfc,2021-2022,664624.38,617067.19
cfia-acia,2017-2018,337133.03,345869.25
cfia-acia,2018-2019,184313.59,187179.94
cfia-acia,2019-2020,184818.56,183258.88
ec,2017-2018,393348.28,403541.22
jus,2017-2018,8706.78,8936.32
nrcan-rncan,2018-2019,160351.45,162096.26
nrcan-rncan,2019-2020,401976.91,398584.64
nrcan-rncan,2020-2021,400878.62,381103.39
nrcan-rncan,2021-2022,3772056.13,3481593.04
psc-cfp,2017-2018,16223.46,16661.96
rcmp-grc,2017-2018,292025.19,299592.52
rcmp-grc,2018-2019,146412.63,149321.38
rcmp-grc,2019-2020,385560.00,382306.27
