d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,754528.21,777744.00
2_professional_services,2018-2019,789942.17,803872.66
2_professional_services,2019-2020,1335324.97,1324203.18
2_professional_services,2020-2021,1459878.32,1388653.51
2_professional_services,2021-2022,1445351.91,1343730.52
2_professional_services,2022-2023,2679692.58,2394285.58
3_information_technology,2017-2018,267884.75,276206.52
3_information_technology,2018-2019,2920.07,2998.03
9_human_capital,2018-2019,98978.10,100769.97
9_human_capital,2019-2020,113206.20,112303.16
9_human_capital,2020-2021,112896.90,107514.05
9_human_capital,2021-2022,13918.80,13181.03
