owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,24969.21,25736.22
cbsa-asfc,2018-2019,25427.66,25934.01
cbsa-asfc,2019-2020,21690.35,21664.18
cbsa-asfc,2021-2022,52271.67,47673.77
cic,2018-2019,13328.35,13627.97
cic,2020-2021,5965.66,5658.08
cic,2021-2022,7601.40,7242.68
cra-arc,2020-2021,18264.42,17322.74
cra-arc,2021-2022,19875.98,18938.01
csc-scc,2018-2019,15641.46,15774.85
dfatd-maecd,2017-2018,24408.00,25087.52
dfatd-maecd,2018-2019,58692.20,59354.40
dfatd-maecd,2019-2020,19910.60,19924.40
dfatd-maecd,2020-2021,83493.44,80256.33
dfatd-maecd,2021-2022,26386.63,24262.85
dnd-mdn,2017-2018,370926.08,381562.93
dnd-mdn,2018-2019,506486.72,515018.35
dnd-mdn,2019-2020,362774.01,355198.58
dnd-mdn,2020-2021,703746.26,670144.32
dnd-mdn,2021-2022,156692.74,146976.15
elections,2017-2018,14329.33,14815.48
elections,2018-2019,11673.64,11788.62
elections,2019-2020,27778.95,27716.70
ic,2021-2022,19015.64,17398.89
nrc-cnrc,2019-2020,12204.00,11913.29
nsira-ossnr,2021-2022,31460.90,29640.21
pch,2018-2019,43145.66,43513.62
pwgsc-tpsgc,2017-2018,43447.33,44651.98
pwgsc-tpsgc,2018-2019,10226.50,10400.85
pwgsc-tpsgc,2019-2020,17181.00,16966.98
rcmp-grc,2017-2018,87154.22,89912.16
rcmp-grc,2018-2019,76673.84,78051.79
rcmp-grc,2019-2020,122606.36,120951.00
rcmp-grc,2020-2021,38041.85,36451.25
rcmp-grc,2021-2022,61605.28,57406.61
ssc-spc,2017-2018,46064.45,47476.61
ssc-spc,2018-2019,211685.45,213734.08
ssc-spc,2019-2020,115449.84,112755.30
ssc-spc,2020-2021,152167.87,144511.32
ssc-spc,2021-2022,80861.69,75422.73
tc,2019-2020,15505.35,15136.00
tc,2020-2021,10003.35,9528.09
