d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,89916.16,92638.74
11_defence,2018-2019,778577.47,790382.22
11_defence,2019-2020,1410689.87,1407800.41
11_defence,2020-2021,1056090.23,1045632.84
5_transportation_and_logistics,2017-2018,141821.53,144395.10
5_transportation_and_logistics,2018-2019,2394592.52,2420256.23
6_industrial_products_and_services,2017-2018,12206.90,12629.02
6_industrial_products_and_services,2018-2019,14483.10,14800.59
6_industrial_products_and_services,2019-2020,8962.24,8974.53
6_industrial_products_and_services,2020-2021,342919.00,338515.09
6_industrial_products_and_services,2021-2022,106840.25,59918.27
9_human_capital,2017-2018,52641.32,54507.15
