d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,30030.47,30754.78
10_office_management,2018-2019,45697.20,46208.90
10_office_management,2020-2021,19719.57,18664.97
11_defence,2017-2018,2087071.25,2140128.87
11_defence,2018-2019,3179736.00,3227614.52
11_defence,2019-2020,558427.68,554604.16
11_defence,2020-2021,1862090.15,1774241.70
11_defence,2021-2022,1650956.84,828805.62
2_professional_services,2017-2018,92493.32,94688.71
2_professional_services,2018-2019,25498.94,25889.31
2_professional_services,2019-2020,50178.35,49087.60
2_professional_services,2020-2021,1108040.19,1051529.32
2_professional_services,2021-2022,1606610.61,1242409.44
3_information_technology,2017-2018,17965271.06,18427714.18
3_information_technology,2018-2019,12668315.72,12838542.90
3_information_technology,2019-2020,11752176.63,11620727.65
3_information_technology,2020-2021,15772290.56,14977400.00
3_information_technology,2021-2022,15911975.05,11144797.87
5_transportation_and_logistics,2021-2022,63077.77,13492.83
6_industrial_products_and_services,2017-2018,41528.97,42507.89
6_industrial_products_and_services,2018-2019,109617.57,111287.21
6_industrial_products_and_services,2019-2020,137759.38,136393.26
6_industrial_products_and_services,2020-2021,270234.28,255428.23
6_industrial_products_and_services,2021-2022,121427.76,109305.82
9_human_capital,2018-2019,63701.19,64504.63
9_human_capital,2019-2020,91701.67,90762.67
9_human_capital,2020-2021,106591.63,101380.07
9_human_capital,2021-2022,65722.23,51412.17
