owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,727146.91,746132.09
aafc-aac,2018-2019,683596.43,692509.47
aafc-aac,2019-2020,651193.14,649859.33
aafc-aac,2020-2021,350033.80,333366.62
aafc-aac,2021-2022,1148471.11,864330.01
aandc-aadnc,2017-2018,269771.54,278171.92
aandc-aadnc,2018-2019,583541.59,590411.84
aandc-aadnc,2019-2020,96719.00,96579.21
aandc-aadnc,2020-2021,647340.80,632747.27
aandc-aadnc,2021-2022,317681.13,234347.40
acoa-apeca,2020-2021,24725.00,23730.13
cas-satj,2017-2018,18346.77,18997.06
cas-satj,2018-2019,2632.30,2657.77
cas-satj,2019-2020,192684.27,192289.60
cas-satj,2020-2021,192157.81,188120.14
cas-satj,2021-2022,192157.81,145970.84
cbsa-asfc,2017-2018,4186390.17,4274536.94
cbsa-asfc,2018-2019,22036384.45,22319451.29
cbsa-asfc,2019-2020,57334366.45,57169645.81
cbsa-asfc,2020-2021,88067545.28,86186934.29
cbsa-asfc,2021-2022,51118963.09,41994109.96
ced-dec,2018-2019,24995.57,25237.46
ced-dec,2020-2021,28743.75,28138.75
cfia-acia,2021-2022,186488.70,135645.87
cgc-ccg,2021-2022,13193.75,7923.09
cic,2018-2019,121541.12,122894.98
cic,2019-2020,10999.47,10976.94
cic,2020-2021,6854340.91,6580623.53
cic,2021-2022,13427872.21,10146435.40
cihr-irsc,2017-2018,72800.00,75380.34
cnsc-ccsn,2017-2018,59983.75,61931.95
cnsc-ccsn,2018-2019,1850.61,1868.52
cnsc-ccsn,2019-2020,25116.15,25064.81
cnsc-ccsn,2020-2021,23544.25,23113.05
cra-arc,2017-2018,68464.99,70227.44
cra-arc,2018-2019,132884.59,134610.59
cra-arc,2019-2020,715352.58,713891.70
cra-arc,2020-2021,565540.34,551647.54
cra-arc,2021-2022,569402.58,443553.95
csa-asc,2017-2018,7307.81,7566.83
csa-asc,2018-2019,22995.00,23217.53
csa-asc,2020-2021,195844.97,189008.35
csc-scc,2020-2021,67907.54,66594.72
csc-scc,2021-2022,7313.70,6755.61
csps-efpc,2018-2019,10000.00,10096.77
csps-efpc,2019-2020,64150.00,63917.21
dfatd-maecd,2017-2018,2327813.53,2387208.21
dfatd-maecd,2018-2019,1912184.85,1935150.64
dfatd-maecd,2019-2020,3474676.25,3467805.08
dfatd-maecd,2020-2021,2852525.57,2780979.72
dfatd-maecd,2021-2022,4016265.76,2899357.00
dfo-mpo,2017-2018,517805.74,531485.81
dfo-mpo,2018-2019,648247.30,656820.89
dfo-mpo,2019-2020,334581.49,334156.95
dfo-mpo,2020-2021,2525293.16,2446429.50
dfo-mpo,2021-2022,805998.22,631012.22
dnd-mdn,2017-2018,821460.69,837503.71
dnd-mdn,2018-2019,2873807.91,2909773.18
dnd-mdn,2019-2020,6552805.39,6547534.80
dnd-mdn,2020-2021,4250589.42,4145901.92
dnd-mdn,2021-2022,3247656.48,2448434.13
ec,2018-2019,684731.29,694556.88
ec,2019-2020,193073.01,193317.13
ec,2020-2021,72013.95,72643.90
ec,2021-2022,119503.61,71644.66
elections,2017-2018,25710.97,26247.13
elections,2018-2019,12702.12,12864.22
elections,2019-2020,12354.12,12327.51
esdc-edsc,2017-2018,602673.16,621905.27
esdc-edsc,2018-2019,6256870.69,6348506.47
esdc-edsc,2019-2020,12252988.12,12225431.04
esdc-edsc,2020-2021,29784245.67,29036562.90
esdc-edsc,2021-2022,35632218.21,27732072.89
fcac-acfc,2017-2018,96813.82,98699.28
fcac-acfc,2018-2019,264722.22,268302.81
fcac-acfc,2019-2020,30326.83,30264.71
fcac-acfc,2020-2021,30243.97,29608.48
fcac-acfc,2021-2022,937169.50,396338.54
feddevontario,2017-2018,24973.00,25615.35
feddevontario,2019-2020,97360.80,97316.38
feddevontario,2020-2021,422420.21,408973.99
feddevontario,2021-2022,341545.51,256991.73
fin,2020-2021,148399.00,144491.45
hc-sc,2017-2018,6212.34,6319.05
hc-sc,2018-2019,480134.07,488259.48
hc-sc,2019-2020,73323.37,73132.97
hc-sc,2020-2021,244076.04,234164.87
hc-sc,2021-2022,1613169.28,1248586.24
ic,2017-2018,791866.59,809309.36
ic,2018-2019,2869815.92,2906529.25
ic,2019-2020,1743138.06,1742834.27
ic,2020-2021,8428924.41,8175471.78
ic,2021-2022,7908646.60,5036177.49
infc,2017-2018,1828079.64,1874805.02
infc,2018-2019,194571.08,196636.80
infc,2019-2020,28198.64,28185.77
infc,2021-2022,61573.42,32997.93
irb-cisr,2019-2020,24860.00,24848.66
irb-cisr,2020-2021,419470.72,403495.00
irb-cisr,2021-2022,1222519.98,933701.44
isc-sac,2017-2018,18628.31,18948.30
isc-sac,2018-2019,154530.34,156502.38
isc-sac,2019-2020,90601.35,90453.17
isc-sac,2020-2021,33900.00,33888.47
isc-sac,2021-2022,207420.69,133444.07
lac-bac,2017-2018,49669.21,50522.40
lac-bac,2018-2019,24856.86,25130.55
lac-bac,2019-2020,90075.34,89890.84
lac-bac,2020-2021,89829.23,87941.72
lac-bac,2021-2022,89829.23,68237.92
nfb-onf,2019-2020,5481.87,5489.39
nfb-onf,2020-2021,66696.13,65294.69
nfb-onf,2021-2022,182.73,168.79
nrc-cnrc,2017-2018,421948.81,431623.36
nrc-cnrc,2018-2019,914898.41,927235.88
nrc-cnrc,2019-2020,503490.66,502731.38
nrc-cnrc,2020-2021,1425909.30,1380356.08
