d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,55654.69,56966.59
0_other,2018-2019,272887.53,277444.13
1_facilities_and_construction,2019-2020,68852.68,69030.84
11_defence,2017-2018,689958.54,708940.32
11_defence,2018-2019,152170.96,153668.17
11_defence,2019-2020,84338.09,82986.51
11_defence,2020-2021,42841.68,40802.80
3_information_technology,2017-2018,12375842.89,12695762.83
3_information_technology,2018-2019,5469171.63,5571547.92
3_information_technology,2019-2020,279757.35,275545.22
3_information_technology,2020-2021,712885.04,677915.42
3_information_technology,2021-2022,606769.19,474654.07
6_industrial_products_and_services,2018-2019,18970.51,19357.87
