d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2021-2022,0.00,0.00
10_office_management,2021-2022,24069.00,22080.04
11_defence,2017-2018,286817.27,294147.65
11_defence,2018-2019,249178.08,253106.29
11_defence,2019-2020,12087.44,11814.29
11_defence,2020-2021,751054.37,710121.67
11_defence,2021-2022,973827.03,885335.93
2_professional_services,2017-2018,12639598.68,12965067.62
2_professional_services,2018-2019,12620896.98,12817548.41
2_professional_services,2019-2020,11436848.74,11356564.39
2_professional_services,2020-2021,6207338.33,5899411.47
2_professional_services,2021-2022,9473563.48,8778739.88
3_information_technology,2017-2018,23822768.73,24433028.15
3_information_technology,2018-2019,30600759.72,31066698.29
3_information_technology,2019-2020,28947347.94,28699190.45
3_information_technology,2020-2021,18981691.25,18030498.14
3_information_technology,2021-2022,38860681.34,35898596.06
7_travel,2018-2019,76312.32,77063.15
7_travel,2019-2020,129626.40,129903.64
9_human_capital,2018-2019,24012.50,24248.76
9_human_capital,2020-2021,19453.02,18531.91
9_human_capital,2021-2022,7340.76,6936.47
