owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2017-2018,15895.89,16356.28
dnd-mdn,2018-2019,21697.83,22277.10
dnd-mdn,2019-2020,22317.02,22334.31
pch,2017-2018,73584.00,75891.86
pch,2018-2019,447623.95,453400.99
pch,2019-2020,1023939.78,1015771.84
pch,2020-2021,1021142.13,972454.77
pch,2021-2022,1034176.85,961197.05
pch,2022-2023,676192.00,605613.32
pwgsc-tpsgc,2017-2018,70402.88,72579.11
pwgsc-tpsgc,2018-2019,22216.60,22642.34
pwgsc-tpsgc,2019-2020,22277.47,22099.76
pwgsc-tpsgc,2020-2021,22216.60,21157.33
pwgsc-tpsgc,2021-2022,73232.51,68086.14
pwgsc-tpsgc,2022-2023,73232.51,65528.76
