d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,18605.16,19139.02
5_transportation_and_logistics,2017-2018,113501.08,116250.55
5_transportation_and_logistics,2019-2020,202951.29,199754.87
5_transportation_and_logistics,2020-2021,409592.01,389268.79
5_transportation_and_logistics,2021-2022,602700.59,554115.72
6_industrial_products_and_services,2017-2018,76575.86,78505.65
6_industrial_products_and_services,2018-2019,9108872.12,9227672.32
6_industrial_products_and_services,2019-2020,1936922.34,1917005.61
6_industrial_products_and_services,2020-2021,861100.34,819139.85
6_industrial_products_and_services,2021-2022,1518241.23,1409786.94
8_security_and_protection,2019-2020,43441.06,42898.65
8_security_and_protection,2020-2021,38826.44,37010.65
8_security_and_protection,2021-2022,8787.13,7956.72
9_human_capital,2018-2019,18400.00,18737.81
