owner_org,d_fiscal_year,total
aafc-aac,2018-2019,409258.55
aafc-aac,2019-2020,1280244.71
aafc-aac,2020-2021,1276746.77
cbsa-asfc,2017-2018,327331.83
cbsa-asfc,2020-2021,4643.00
cer-rec,2018-2019,997148.29
cer-rec,2019-2020,2851.71
cihr-irsc,2017-2018,24578.00
dfatd-maecd,2017-2018,1636859.14
dfatd-maecd,2018-2019,408093.65
dnd-mdn,2019-2020,117008.91
dnd-mdn,2020-2021,231940.74
esdc-edsc,2019-2020,39196.85
esdc-edsc,2020-2021,37752.80
ic,2017-2018,56979.92
ic,2018-2019,66416.08
ic,2019-2020,257229.77
ic,2020-2021,261528.87
infc,2017-2018,7488.82
infc,2018-2019,16919.18
nrcan-rncan,2018-2019,44239.50
nserc-crsng,2018-2019,15084.99
nserc-crsng,2019-2020,72646.14
nserc-crsng,2020-2021,18062.29
ssc-spc,2019-2020,6027297.02
ssc-spc,2020-2021,6200162.50
