d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,24578.00
2_professional_services,2017-2018,7488.82
2_professional_services,2018-2019,61158.68
2_professional_services,2019-2020,156205.76
2_professional_services,2020-2021,255478.01
2_professional_services,2021-2022,11744.46
3_information_technology,2017-2018,2021170.89
3_information_technology,2018-2019,1896001.56
3_information_technology,2019-2020,1612972.32
3_information_technology,2020-2021,1570553.46
3_information_technology,2021-2022,2275528.50
9_human_capital,2019-2020,6027297.02
9_human_capital,2020-2021,6204805.49
9_human_capital,2021-2022,6182688.50
