owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2018-2019,409258.55,413497.34
aafc-aac,2019-2020,1280244.71,1269970.61
aafc-aac,2020-2021,1276746.77,1217217.77
cbsa-asfc,2017-2018,327331.83,338107.42
cbsa-asfc,2020-2021,4643.00,4403.61
cbsa-asfc,2021-2022,20326.00,19274.54
cer-rec,2018-2019,997148.29,1012827.65
cer-rec,2019-2020,2851.71,2862.08
cihr-irsc,2017-2018,24578.00,25270.43
dfatd-maecd,2017-2018,1636859.14,1687027.63
dfatd-maecd,2018-2019,408093.65,418508.33
dnd-mdn,2019-2020,117008.91,114927.26
dnd-mdn,2020-2021,231940.74,221228.83
esdc-edsc,2019-2020,39196.85,38314.78
esdc-edsc,2020-2021,37752.80,35687.30
esdc-edsc,2021-2022,2039866.44,1913454.35
ic,2017-2018,56979.92,58574.96
ic,2018-2019,66416.08,68009.54
ic,2019-2020,257229.77,255106.98
ic,2020-2021,261528.87,249334.95
ic,2021-2022,261528.87,244728.53
infc,2017-2018,7488.82,7695.19
infc,2018-2019,16919.18,17350.96
nrcan-rncan,2018-2019,44239.50,44907.16
nserc-crsng,2018-2019,15084.99,15213.64
nserc-crsng,2019-2020,72646.14,72063.15
nserc-crsng,2020-2021,18062.29,17021.82
ssc-spc,2019-2020,6027297.02,5977155.27
ssc-spc,2020-2021,6200162.50,5911120.54
ssc-spc,2021-2022,6162362.50,5766498.75
