owner_org,d_fiscal_year,total
cic,2018-2019,50522.35212765957
cic,2019-2020,105300.1078723404
esdc-edsc,2017-2018,652413.1499999999
esdc-edsc,2018-2019,96720.13774647887
esdc-edsc,2019-2020,72838.62225352113
iaac-aeic,2018-2019,162691.46
ic,2017-2018,165149.70941554403
ic,2018-2019,114869.18752355415
ic,2019-2020,341060.52306090185
infc,2017-2018,16858.2
jus,2017-2018,23399.95
pch,2017-2018,19879.3
pch,2018-2019,10747.08
pco-bcp,2017-2018,102676.93999999997
ppsc-sppc,2019-2020,17911.629999999997
pwgsc-tpsgc,2017-2018,1511193.755058764
pwgsc-tpsgc,2018-2019,1728952.0787762112
pwgsc-tpsgc,2019-2020,929586.8761650248
