d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1353060.83,1395058.87
it_consulting_services,2018-2019,837413.54,853379.83
it_consulting_services,2019-2020,1655305.32,1639060.92
it_consulting_services,2020-2021,1191529.34,1134371.30
it_consulting_services,2021-2022,1267836.93,1178444.49
it_consulting_services,2022-2023,1241893.54,1111348.48
it_devices_equipment,2017-2018,39038.70,40243.15
it_devices_equipment,2018-2019,31583.39,32248.43
it_other,2019-2020,32168.46,31434.21
it_other,2020-2021,126376.07,120766.00
it_software_licensing,2017-2018,304403.19,313302.63
it_software_licensing,2018-2019,326238.33,332158.21
it_software_licensing,2019-2020,285279.53,283114.96
it_software_licensing,2020-2021,247852.95,235834.77
it_software_licensing,2021-2022,627394.15,583290.60
it_software_licensing,2022-2023,379433.09,339797.22
