owner_org,d_fiscal_year,total
aafc-aac,2017-2018,54730.54
aandc-aadnc,2018-2019,1022.29
aandc-aadnc,2019-2020,34112.81
cas-satj,2018-2019,226888.09
cas-satj,2019-2020,76756.33
cbsa-asfc,2017-2018,5181698.80
cbsa-asfc,2019-2020,309736.68
cbsa-asfc,2020-2021,380740.27
cbsa-asfc,2021-2022,670180.44
chrc-ccdp,2019-2020,7293.43
chrc-ccdp,2020-2021,12162.11
chrc-ccdp,2021-2022,4312.88
cic,2017-2018,97572.88
cic,2018-2019,24460.51
cic,2019-2020,34950.71
cic,2020-2021,65222.40
cic,2021-2022,71214.38
cra-arc,2018-2019,398114.30
cra-arc,2019-2020,564293.31
cra-arc,2020-2021,1368601.68
cra-arc,2021-2022,1316440.91
csc-scc,2017-2018,157947.01
csc-scc,2018-2019,136454.02
csc-scc,2019-2020,155577.52
csc-scc,2020-2021,63137.15
csc-scc,2021-2022,101906.71
csps-efpc,2017-2018,11318.17
csps-efpc,2018-2019,11872.02
csps-efpc,2019-2020,10553.67
csps-efpc,2020-2021,10855.48
csps-efpc,2021-2022,10855.48
dfo-mpo,2017-2018,277011.00
dfo-mpo,2018-2019,45928.61
dfo-mpo,2019-2020,40956.42
dfo-mpo,2020-2021,34052.85
dfo-mpo,2021-2022,43181.65
dnd-mdn,2017-2018,6793174.02
dnd-mdn,2018-2019,3141626.99
dnd-mdn,2019-2020,410826.49
dnd-mdn,2020-2021,889891.74
dnd-mdn,2021-2022,639273.02
esdc-edsc,2017-2018,284430.68
esdc-edsc,2018-2019,77704.88
esdc-edsc,2019-2020,142820.37
ic,2017-2018,46854.29
ic,2018-2019,35118.67
ic,2020-2021,53282.63
ic,2021-2022,537010.03
isc-sac,2018-2019,712.47
isc-sac,2019-2020,17913.48
lac-bac,2017-2018,40546.19
lac-bac,2018-2019,210290.44
mgerc-ceegm,2021-2022,32938.04
nfb-onf,2017-2018,30471.88
nfb-onf,2018-2019,6114.42
nrc-cnrc,2019-2020,6316.04
nrc-cnrc,2020-2021,147374.22
nrcan-rncan,2018-2019,16176.52
nrcan-rncan,2019-2020,15917.71
nrcan-rncan,2020-2021,15916.30
nrcan-rncan,2021-2022,17256.31
pco-bcp,2018-2019,52558.87
pco-bcp,2019-2020,57377.53
pco-bcp,2020-2021,56562.83
pco-bcp,2021-2022,56562.83
phac-aspc,2018-2019,496751.17
ps-sp,2017-2018,15998.77
ps-sp,2018-2019,81189.49
pwgsc-tpsgc,2017-2018,1490353.93
pwgsc-tpsgc,2018-2019,1830348.88
pwgsc-tpsgc,2019-2020,1406554.70
pwgsc-tpsgc,2020-2021,2022006.15
pwgsc-tpsgc,2021-2022,1840429.64
rcmp-grc,2017-2018,785774.77
rcmp-grc,2018-2019,1608937.16
rcmp-grc,2019-2020,1594147.88
rcmp-grc,2020-2021,816396.87
ssc-spc,2017-2018,9758505.51
ssc-spc,2018-2019,10347126.15
ssc-spc,2019-2020,6877034.44
ssc-spc,2020-2021,9285212.01
ssc-spc,2021-2022,10149618.33
statcan,2017-2018,334641.36
statcan,2018-2019,59362.09
statcan,2019-2020,146317.82
statcan,2020-2021,5824.55
statcan,2021-2022,134277.11
tbs-sct,2017-2018,216649.50
tbs-sct,2018-2019,248509.73
vac-acc,2021-2022,456.61
