owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,17486.75,17986.50
dfatd-maecd,2020-2021,11458.20,10867.44
dnd-mdn,2017-2018,125479.08,129331.16
dnd-mdn,2018-2019,68432.77,70107.27
dnd-mdn,2019-2020,138086.22,136661.87
dnd-mdn,2021-2022,40380.78,37100.45
nrc-cnrc,2021-2022,33933.90,32096.07
nrcan-rncan,2019-2020,107578.12,106105.48
pwgsc-tpsgc,2017-2018,200201.26,206059.27
pwgsc-tpsgc,2018-2019,789068.76,798421.18
pwgsc-tpsgc,2019-2020,549861.34,539795.18
pwgsc-tpsgc,2020-2021,711540.54,677543.52
pwgsc-tpsgc,2021-2022,1091872.12,1003199.40
