d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,28106.20,28834.52
2_professional_services,2018-2019,31922.61,32408.08
2_professional_services,2019-2020,34212.97,33924.25
2_professional_services,2020-2021,34119.49,32436.39
2_professional_services,2021-2022,11404.32,10762.99
4_medical,2017-2018,1290235.74,1323557.59
4_medical,2018-2019,1242235.74,1261554.34
4_medical,2019-2020,1245639.12,1235127.21
4_medical,2020-2021,1242235.74,1180956.60
4_medical,2021-2022,1242235.74,971757.07
