owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,174.20,179.18
cbsa-asfc,2018-2019,22141.76,22556.77
cbsa-asfc,2019-2020,20521.72,20358.02
cbsa-asfc,2020-2021,20465.65,19489.86
cbsa-asfc,2021-2022,20465.65,19027.44
cihr-irsc,2020-2021,20978.68,20010.18
cihr-irsc,2021-2022,4195.74,3973.34
cnsc-ccsn,2017-2018,180784.73,186490.46
dnd-mdn,2017-2018,240237.92,247640.12
dnd-mdn,2018-2019,309325.61,314639.11
dnd-mdn,2019-2020,72777.94,71899.72
dnd-mdn,2020-2021,251767.26,239295.01
dnd-mdn,2021-2022,61127.91,56888.04
nrc-cnrc,2021-2022,69833.64,65765.20
nrcan-rncan,2018-2019,19557.86,19776.28
nrcan-rncan,2021-2022,18205.68,16683.39
rcmp-grc,2020-2021,33872.20,31916.95
ssc-spc,2017-2018,1856628.47,1913908.77
ssc-spc,2018-2019,4498636.88,4584723.97
ssc-spc,2019-2020,4043327.43,4012639.99
ssc-spc,2020-2021,4093300.76,3897751.97
ssc-spc,2021-2022,1670015.30,1554853.70
ssc-spc,2022-2023,254164.93,227881.16
