d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,405180.39,415679.94
it_consulting_services,2018-2019,405180.39,411481.54
it_devices_equipment,2017-2018,938279.75,962621.15
it_devices_equipment,2018-2019,308319.54,313020.14
it_devices_equipment,2019-2020,644584.26,640996.82
it_devices_equipment,2020-2021,41444.33,39427.51
it_devices_equipment,2021-2022,24661.38,22968.55
it_other,2017-2018,78389.12,80360.28
it_other,2018-2019,3383577.46,3436224.32
it_other,2019-2020,3413535.55,3384651.12
it_other,2020-2021,3959616.50,3764699.06
it_other,2021-2022,889969.44,826154.09
it_software_licensing,2017-2018,588005.23,603335.04
it_software_licensing,2018-2019,423701.26,430349.87
it_software_licensing,2019-2020,5729.35,5590.69
it_software_licensing,2020-2021,167556.46,158214.42
it_software_licensing,2021-2022,780045.86,726518.08
