d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,411745.99,422433.50
it_consulting_services,2018-2019,643037.48,652507.72
it_consulting_services,2019-2020,1065423.44,1054224.49
it_consulting_services,2020-2021,1277109.13,1213524.45
it_consulting_services,2021-2022,1301442.50,1210211.49
it_software_licensing,2017-2018,403632.79,414089.37
it_software_licensing,2018-2019,462121.29,469321.45
it_software_licensing,2019-2020,467834.96,463849.66
it_software_licensing,2020-2021,135952.17,129262.36
it_software_licensing,2021-2022,18240.55,16935.35
