owner_org,d_fiscal_year,total,total_constant_2019_dollars
cas-satj,2017-2018,24392.60,25156.35
cas-satj,2019-2020,498.50,487.12
cas-satj,2020-2021,25494.55,24284.00
cbsa-asfc,2017-2018,116043.01,119630.02
cfia-acia,2022-2023,788901.64,702870.04
cra-arc,2022-2023,21320.00,18867.04
dnd-mdn,2017-2018,290591.11,298931.91
dnd-mdn,2018-2019,174142.87,178222.16
dnd-mdn,2019-2020,67266.19,66729.60
dnd-mdn,2020-2021,50541.53,48297.90
dnd-mdn,2022-2023,14947.84,13351.01
elections,2017-2018,10693.44,11023.58
elections,2018-2019,11581.91,11803.86
elections,2019-2020,27326.43,27094.42
elections,2020-2021,28515.60,27155.99
elections,2021-2022,26620.24,24753.70
fcac-acfc,2017-2018,29671.98,30589.18
fcac-acfc,2018-2019,29671.98,30240.59
hc-sc,2019-2020,18155.95,18009.46
hc-sc,2020-2021,150.05,141.74
nfb-onf,2018-2019,3521.89,3568.56
nfb-onf,2019-2020,7450.93,7391.50
nfb-onf,2020-2021,20.36,19.23
nfb-onf,2022-2023,13526.52,12019.60
nrcan-rncan,2018-2019,45031.90,46234.11
nserc-crsng,2017-2018,8773.26,9042.57
nserc-crsng,2018-2019,10740.61,10944.68
nserc-crsng,2019-2020,13234.91,13131.02
nserc-crsng,2020-2021,3275.30,3095.87
pwgsc-tpsgc,2021-2022,4334.40,3918.23
pwgsc-tpsgc,2022-2023,27306.72,24476.90
rcmp-grc,2017-2018,213614.20,220164.02
rcmp-grc,2018-2019,249671.71,254382.35
rcmp-grc,2019-2020,823198.83,805699.84
rcmp-grc,2020-2021,85537.53,81899.21
rcmp-grc,2021-2022,68708.19,63046.16
rcmp-grc,2022-2023,60437.57,54045.98
ssc-spc,2017-2018,4699197.99,4844215.03
ssc-spc,2018-2019,5757926.39,5867115.75
ssc-spc,2019-2020,5646242.90,5600894.01
ssc-spc,2020-2021,7505469.62,7147775.74
ssc-spc,2021-2022,6508433.09,6051346.94
ssc-spc,2022-2023,5524222.60,4943127.93
tc,2017-2018,35671.05,36772.56
tc,2018-2019,114844.49,116833.51
tc,2019-2020,37697.69,37084.82
