normalized_vendor_name,original_vendor_name
ENVIRONICS RESEARCH GROUP,ENVIRONICS RESEARCH GROUP
ENVIRONICS RESEARCH GROUP,ENVIRONICS RESEARCH GROUP LIMITED
ENVIRONICS RESEARCH GROUP,Environics Research Group Ltd
ENVIRONICS RESEARCH GROUP,ENVIRONICS RESEARCH GROUP LTD
ENVIRONICS RESEARCH GROUP,Environics Research Group Ltd.
ENVIRONICS RESEARCH GROUP,Environics Research Group
ENVIRONICS RESEARCH GROUP,ENVIRONICS RESEARCH GROUP LTD.
ENVIRONICS RESEARCH GROUP,Environics Research Group Limited
ENVIRONICS RESEARCH GROUP,ENVIRONICS RESEARCH GROUP LIMITED.
ENVIRONICS RESEARCH GROUP,ENVIRONICS RESEARCH GROUP LMT
