d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2018-2019,10949.35,11062.27
2_professional_services,2019-2020,91664.71,91055.15
2_professional_services,2020-2021,79515.14,75240.85
2_professional_services,2021-2022,200276.19,148144.69
3_information_technology,2017-2018,988082.85,1013250.44
3_information_technology,2018-2019,1474194.23,1496571.47
3_information_technology,2019-2020,1697872.19,1679090.40
3_information_technology,2020-2021,1396937.07,1326775.06
3_information_technology,2021-2022,467415.37,370560.78
9_human_capital,2017-2018,51545.49,52760.52
9_human_capital,2018-2019,108732.86,110297.24
9_human_capital,2019-2020,52351.90,51910.10
