d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,6873011.23,7081364.04
it_consulting_services,2018-2019,7298790.66,7436032.67
it_consulting_services,2019-2020,5974414.59,5936606.45
it_consulting_services,2020-2021,2441549.42,2327183.78
it_consulting_services,2021-2022,10458740.89,9656162.88
it_software_licensing,2017-2018,101558.34,104671.03
it_software_licensing,2018-2019,101558.34,103414.72
it_software_licensing,2019-2020,101836.58,101019.33
it_software_licensing,2020-2021,101558.34,96823.13
it_software_licensing,2021-2022,212257.11,195136.52
