d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,1604245.19,1653294.59
it_consulting_services,2018-2019,573043.38,582388.26
it_consulting_services,2019-2020,549248.72,545320.88
it_consulting_services,2020-2021,1014950.34,969159.63
it_consulting_services,2021-2022,1032152.09,967176.07
it_devices_equipment,2017-2018,52555.18,54053.38
it_devices_equipment,2018-2019,43920.60,44759.30
it_devices_equipment,2019-2020,985981.50,974919.26
it_other,2021-2022,191669.10,174279.09
it_software_licensing,2017-2018,7376958.90,7597639.42
it_software_licensing,2018-2019,6150435.65,6242469.26
it_software_licensing,2019-2020,6955028.37,6875138.10
it_software_licensing,2020-2021,10228697.16,9769475.46
it_software_licensing,2021-2022,12386246.38,11474981.85
