owner_org,d_fiscal_year,total
aafc-aac,2017-2018,1281226.85
aafc-aac,2018-2019,300327.58999999997
aafc-aac,2019-2020,143570.85
aandc-aadnc,2017-2018,54465.95
aandc-aadnc,2018-2019,65480.1
cas-satj,2017-2018,145045.68
cbsa-asfc,2019-2020,462850.95999999996
cbsa-asfc,2020-2021,454561.70999999996
cgc-ccg,2017-2018,24130.05
cgc-ccg,2018-2019,53268.740000000005
cgc-ccg,2020-2021,105854.94
cic,2017-2018,71577.15000000001
cnsc-ccsn,2017-2018,58428.229999999996
cra-arc,2017-2018,26766.54
cra-arc,2018-2019,159673.6
cra-arc,2019-2020,57233.37
cra-arc,2020-2021,106215.51762435677
csc-scc,2017-2018,1271315.85
csc-scc,2018-2019,1150263.09
csc-scc,2019-2020,453417.41000000003
csc-scc,2020-2021,380584.51
dfatd-maecd,2017-2018,22982.2
dfatd-maecd,2018-2019,60606
dnd-mdn,2017-2018,2378376.3170362925
dnd-mdn,2018-2019,4791857.672907536
dnd-mdn,2019-2020,2106969.3661490683
dnd-mdn,2020-2021,3866746.256451797
ec,2018-2019,39819.33
ec,2019-2020,79807.83
ec,2020-2021,249658.02
hc-sc,2017-2018,408240.18999999994
hc-sc,2018-2019,111012.6
hc-sc,2020-2021,180602.25
ic,2017-2018,146195.66999999998
ic,2018-2019,82858.53
isc-sac,2018-2019,65480.1
isc-sac,2019-2020,161780.75
isc-sac,2020-2021,792749.6799999999
nrc-cnrc,2019-2020,60000.74
nrc-cnrc,2020-2021,171981.48
nrcan-rncan,2018-2019,144145.3
nrcan-rncan,2019-2020,77458.26
nrcan-rncan,2020-2021,182836.26
osgg-bsgg,2017-2018,23483.573749999996
osgg-bsgg,2018-2019,34322.14625
osgg-bsgg,2020-2021,56164.39
pc,2017-2018,540428.2779929545
pc,2018-2019,913904.2912925297
pc,2019-2020,808856.9743702081
pc,2020-2021,566701.356407448
pco-bcp,2017-2018,30025.689999999995
phac-aspc,2020-2021,44268.83
pwgsc-tpsgc,2019-2020,57909.6
pwgsc-tpsgc,2020-2021,195653.58801801802
rcmp-grc,2017-2018,11330659.622472446
rcmp-grc,2018-2019,8545529.959038228
rcmp-grc,2019-2020,8468249.831266012
rcmp-grc,2020-2021,8233186.098976746
ssc-spc,2017-2018,477559.27
ssc-spc,2018-2019,312094.45999999996
ssc-spc,2019-2020,72406.21979214781
ssc-spc,2020-2021,35638.947724782214
tc,2017-2018,203684.75
tc,2018-2019,90368.83
tsb-bst,2018-2019,28105.999999999996
vac-acc,2020-2021,32766.95
