owner_org,d_fiscal_year,total
aafc-aac,2017-2018,561406.9653488372
aafc-aac,2018-2019,1530714.9628676472
aafc-aac,2019-2020,489011.6392643326
aafc-aac,2020-2021,124729.79786676522
aandc-aadnc,2018-2019,64410
cfia-acia,2017-2018,63201.75999999999
cfia-acia,2019-2020,90517.35
cgc-ccg,2017-2018,96150.6
csc-scc,2017-2018,249413.33000000002
csc-scc,2018-2019,255342.36000000002
csc-scc,2019-2020,1134054.7945205478
dfo-mpo,2018-2019,785533.1867881549
dfo-mpo,2019-2020,2533264.512616607
dfo-mpo,2020-2021,10259874.30767553
dnd-mdn,2017-2018,1955544.3270957258
dnd-mdn,2018-2019,2957088.6224182188
dnd-mdn,2019-2020,4221033.238259646
dnd-mdn,2020-2021,2541539.3042950374
ec,2017-2018,311755.06994188327
ec,2018-2019,284414.13067807956
ec,2019-2020,240835.77154370738
ec,2020-2021,332353.9521986536
elections,2018-2019,212544.5103406196
elections,2019-2020,318852.7096593804
elections,2020-2021,25086.969177164297
hc-sc,2019-2020,3093.142820932134
hc-sc,2020-2021,144538.9259362224
nrc-cnrc,2017-2018,66101.43
nrc-cnrc,2018-2019,94727
nrc-cnrc,2019-2020,528184.745
nrc-cnrc,2020-2021,681784.6004716981
nrcan-rncan,2017-2018,72433
nrcan-rncan,2018-2019,262489.5
nrcan-rncan,2019-2020,121133.39310344828
nrcan-rncan,2020-2021,37155.45491823194
pc,2018-2019,349703.18
pc,2019-2020,366693.18650485436
pc,2020-2021,92796.45349514563
phac-aspc,2017-2018,67063.12
phac-aspc,2018-2019,59629.18000000001
polar-polaire,2020-2021,557903.6
pwgsc-tpsgc,2018-2019,134387.4075611791
pwgsc-tpsgc,2019-2020,181600.501106833
pwgsc-tpsgc,2020-2021,1028806.431331988
rcmp-grc,2017-2018,229935.26094100074
rcmp-grc,2018-2019,141533.41437640032
rcmp-grc,2019-2020,168652.51030619867
rcmp-grc,2020-2021,120442.5043764003
statcan,2020-2021,16145.89
tc,2018-2019,164430
tc,2019-2020,235831
tc,2020-2021,11625.795366430259
