d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2020-2021,10500.00,9912.28
11_defence,2017-2018,8120.60,8312.02
11_defence,2018-2019,4466.33,4563.34
3_information_technology,2019-2020,13184.77,12865.69
3_information_technology,2020-2021,8240.48,7778.85
5_transportation_and_logistics,2017-2018,693825.12,711676.91
5_transportation_and_logistics,2018-2019,248278.83,251541.19
5_transportation_and_logistics,2019-2020,722330.01,707923.26
5_transportation_and_logistics,2020-2021,1357350.34,1288092.21
5_transportation_and_logistics,2021-2022,1773771.14,1069140.63
6_industrial_products_and_services,2018-2019,354990.85,358939.36
6_industrial_products_and_services,2019-2020,60265.30,60479.58
6_industrial_products_and_services,2020-2021,11710.89,11027.18
6_industrial_products_and_services,2021-2022,307413.50,285149.69
9_human_capital,2017-2018,12808.95,13122.78
9_human_capital,2019-2020,33335.00,32528.28
