d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,17383662.03,17744516.80
11_defence,2018-2019,10245432.92,10390829.14
11_defence,2019-2020,12293544.52,12269611.65
11_defence,2020-2021,11871858.91,11457607.95
11_defence,2021-2022,11275535.24,8085443.52
2_professional_services,2017-2018,44591.40,45420.71
2_professional_services,2019-2020,55953.28,56030.00
2_professional_services,2020-2021,717.35,723.62
5_transportation_and_logistics,2017-2018,49226453.64,50331888.37
5_transportation_and_logistics,2018-2019,42038807.58,42579865.34
5_transportation_and_logistics,2019-2020,51078037.33,51002242.48
5_transportation_and_logistics,2020-2021,58868030.09,57092430.45
5_transportation_and_logistics,2021-2022,78788533.41,48621002.13
6_industrial_products_and_services,2017-2018,97577.72,101036.28
6_industrial_products_and_services,2018-2019,104559.00,106065.04
